
time,ax,ay,az,wx,wy,wz,
0.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1860,0.0000,0.0000,0.0000,-0.0911,0.0601,0.0226,
0.1880,-0.0016,-0.0481,-0.0287,-0.0911,0.0601,0.0226,
0.2440,-0.0016,-0.0481,-0.0287,-0.0911,0.0601,0.0226,
0.2450,-0.0016,-0.0481,-0.0287,-0.0911,0.0601,0.0226,
0.2460,-0.0016,-0.0481,-0.0287,-0.0911,0.0601,0.0226,
0.2470,-0.0016,-0.0481,-0.0287,-0.0117,-0.0440,0.0028,
0.2470,-0.1388,-0.2049,0.0006,-0.0117,-0.0440,0.0028,
0.3020,-0.1388,-0.2049,0.0006,-0.0117,-0.0440,0.0028,
0.3030,-0.1388,-0.2049,0.0006,-0.0117,-0.0440,0.0028,
0.3040,-0.1388,-0.2049,0.0006,-0.0117,-0.0440,0.0028,
0.3040,-0.1388,-0.2049,0.0006,0.0124,-0.0412,0.0109,
0.3050,-0.1079,-0.1006,-0.0611,0.0124,-0.0412,0.0109,
0.3610,-0.1079,-0.1006,-0.0611,0.0124,-0.0412,0.0109,
0.3620,-0.1079,-0.1006,-0.0611,0.0124,-0.0412,0.0109,
0.3620,-0.1079,-0.1006,-0.0611,0.0124,-0.0412,0.0109,
0.3630,-0.1079,-0.1006,-0.0611,0.0111,-0.0408,0.0069,
0.3640,-0.0382,-0.0809,-0.0479,0.0111,-0.0408,0.0069,
0.4200,-0.0382,-0.0809,-0.0479,0.0111,-0.0408,0.0069,
0.4210,-0.0382,-0.0809,-0.0479,0.0111,-0.0408,0.0069,
0.4210,-0.0382,-0.0809,-0.0479,0.0111,-0.0408,0.0069,
0.4220,-0.0382,-0.0809,-0.0479,0.0119,-0.0363,0.0093,
0.4220,-0.0152,0.0368,-0.0100,0.0119,-0.0363,0.0093,
0.4790,-0.0152,0.0368,-0.0100,0.0119,-0.0363,0.0093,
0.4800,-0.0152,0.0368,-0.0100,0.0119,-0.0363,0.0093,
0.4800,-0.0152,0.0368,-0.0100,0.0119,-0.0363,0.0093,
0.4810,-0.0832,-0.3602,0.0937,0.0119,-0.0363,0.0093,
0.4820,-0.0832,-0.3602,0.0937,-0.0092,-0.0298,0.0166,
0.5390,-0.0832,-0.3602,0.0937,-0.0092,-0.0298,0.0166,
0.5400,-0.0832,-0.3602,0.0937,-0.0092,-0.0298,0.0166,
0.5410,-0.0832,-0.3602,0.0937,-0.0092,-0.0298,0.0166,
0.5420,-0.0832,-0.3602,0.0937,0.0575,-0.0045,-0.0066,
0.5430,0.0190,0.2264,-0.1168,0.0575,-0.0045,-0.0066,
0.5950,0.0190,0.2264,-0.1168,0.0575,-0.0045,-0.0066,
0.5960,0.0190,0.2264,-0.1168,0.0575,-0.0045,-0.0066,
0.5960,0.0190,0.2264,-0.1168,0.0575,-0.0045,-0.0066,
0.5970,0.0190,0.2264,-0.1168,0.0103,-0.0106,-0.0082,
0.5970,-0.0734,-0.1252,0.0115,0.0103,-0.0106,-0.0082,
0.6540,-0.0734,-0.1252,0.0115,0.0103,-0.0106,-0.0082,
0.6550,-0.0734,-0.1252,0.0115,0.0103,-0.0106,-0.0082,
0.6550,-0.0734,-0.1252,0.0115,0.0103,-0.0106,-0.0082,
0.6560,-0.0734,-0.1252,0.0115,0.0213,-0.0171,-0.0070,
0.6570,-0.0372,-0.0046,-0.0333,0.0213,-0.0171,-0.0070,
0.7120,-0.0372,-0.0046,-0.0333,0.0213,-0.0171,-0.0070,
0.7130,-0.0372,-0.0046,-0.0333,0.0213,-0.0171,-0.0070,
0.7140,-0.0372,-0.0046,-0.0333,0.0213,-0.0171,-0.0070,
0.7140,-0.0372,-0.0046,-0.0333,0.0128,-0.0139,-0.0082,
0.7150,-0.0215,-0.0233,-0.0189,0.0128,-0.0139,-0.0082,
0.7710,-0.0215,-0.0233,-0.0189,0.0128,-0.0139,-0.0082,
0.7730,-0.0215,-0.0233,-0.0189,0.0128,-0.0139,-0.0082,
0.7730,-0.0215,-0.0233,-0.0189,0.0128,-0.0139,-0.0082,
0.7740,-0.0215,-0.0233,-0.0189,0.0046,-0.0074,-0.0062,
0.7750,-0.0146,-0.0325,-0.0597,0.0046,-0.0074,-0.0062,
0.8290,-0.0146,-0.0325,-0.0597,0.0046,-0.0074,-0.0062,
0.8300,-0.0146,-0.0325,-0.0597,0.0046,-0.0074,-0.0062,
0.8310,-0.0146,-0.0325,-0.0597,0.0046,-0.0074,-0.0062,
0.8310,-0.0146,-0.0325,-0.0597,0.0026,0.0020,-0.0107,
0.8320,-0.0709,-0.0401,0.0243,0.0026,0.0020,-0.0107,
0.8880,-0.0709,-0.0401,0.0243,0.0026,0.0020,-0.0107,
0.8890,-0.0709,-0.0401,0.0243,0.0026,0.0020,-0.0107,
0.8900,-0.0709,-0.0401,0.0243,0.0026,0.0020,-0.0107,
0.8900,-0.0709,-0.0401,0.0243,0.0176,0.0061,-0.0029,
0.8910,-0.0215,-0.0335,0.0096,0.0176,0.0061,-0.0029,
0.9460,-0.0215,-0.0335,0.0096,0.0176,0.0061,-0.0029,
0.9470,-0.0215,-0.0335,0.0096,0.0176,0.0061,-0.0029,
0.9480,-0.0215,-0.0335,0.0096,0.0176,0.0061,-0.0029,
0.9480,-0.0344,0.0255,-0.0190,0.0176,0.0061,-0.0029,
0.9490,-0.0344,0.0255,-0.0190,0.0168,0.0118,-0.0037,
1.0060,-0.0344,0.0255,-0.0190,0.0168,0.0118,-0.0037,
1.0070,-0.0344,0.0255,-0.0190,0.0168,0.0118,-0.0037,
1.0070,-0.0344,0.0255,-0.0190,0.0168,0.0118,-0.0037,
1.0080,-0.0344,0.0255,-0.0190,0.0095,0.0053,-0.0042,
1.0090,-0.0047,-0.0352,-0.0090,0.0095,0.0053,-0.0042,
1.0640,-0.0047,-0.0352,-0.0090,0.0095,0.0053,-0.0042,
1.0650,-0.0047,-0.0352,-0.0090,0.0095,0.0053,-0.0042,
1.0650,-0.0047,-0.0352,-0.0090,0.0095,0.0053,-0.0042,
1.0660,-0.1289,-0.0051,-0.0362,0.0095,0.0053,-0.0042,
1.0670,-0.1289,-0.0051,-0.0362,0.0062,-0.0033,-0.0152,
1.1230,0.0111,0.0147,0.0245,0.0062,-0.0033,-0.0152,
1.1240,0.0111,0.0147,0.0245,0.0062,-0.0033,-0.0152,
1.1250,0.0111,0.0147,0.0245,0.0062,-0.0033,-0.0152,
1.1250,0.0111,0.0147,0.0245,0.0062,-0.0033,-0.0152,
1.1260,0.0111,0.0147,0.0245,-0.0007,-0.0167,-0.0021,
1.1810,0.0111,0.0147,0.0245,-0.0007,-0.0167,-0.0021,
1.1820,0.0111,0.0147,0.0245,-0.0007,-0.0167,-0.0021,
1.1830,0.0111,0.0147,0.0245,-0.0007,-0.0167,-0.0021,
1.1830,0.0111,0.0147,0.0245,-0.0161,-0.0135,0.0032,
1.1840,0.0071,-0.0067,-0.0029,-0.0161,-0.0135,0.0032,
1.2400,0.0071,-0.0067,-0.0029,-0.0161,-0.0135,0.0032,
1.2410,0.0071,-0.0067,-0.0029,-0.0161,-0.0135,0.0032,
1.2410,0.0071,-0.0067,-0.0029,-0.0161,-0.0135,0.0032,
1.2420,0.0071,-0.0067,-0.0029,-0.0186,0.0016,0.0024,
1.2430,0.0057,-0.0060,0.0272,-0.0186,0.0016,0.0024,
1.3000,0.0057,-0.0060,0.0272,-0.0186,0.0016,0.0024,
1.3010,0.0057,-0.0060,0.0272,-0.0186,0.0016,0.0024,
1.3020,0.0057,-0.0060,0.0272,-0.0186,0.0016,0.0024,
1.3030,-0.0346,-0.0249,0.0244,-0.0186,0.0016,0.0024,
1.3040,-0.0346,-0.0249,0.0244,-0.0202,0.0085,-0.0042,
1.3560,-0.0346,-0.0249,0.0244,-0.0202,0.0085,-0.0042,
1.3570,-0.0346,-0.0249,0.0244,-0.0202,0.0085,-0.0042,
1.3580,-0.0346,-0.0249,0.0244,-0.0202,0.0085,-0.0042,
1.3580,-0.0346,-0.0249,0.0244,-0.0141,-0.0004,-0.0029,
1.3590,0.0332,-0.0272,0.0280,-0.0141,-0.0004,-0.0029,
1.4160,0.0332,-0.0272,0.0280,-0.0141,-0.0004,-0.0029,
1.4170,0.0332,-0.0272,0.0280,-0.0141,-0.0004,-0.0029,
1.4180,0.0332,-0.0272,0.0280,-0.0141,-0.0004,-0.0029,
1.4180,0.0332,-0.0272,0.0280,-0.0133,0.0122,-0.0050,
1.4190,-0.0589,-0.0077,0.0282,-0.0133,0.0122,-0.0050,
1.4730,-0.0589,-0.0077,0.0282,-0.0133,0.0122,-0.0050,
1.4740,-0.0589,-0.0077,0.0282,-0.0133,0.0122,-0.0050,
1.4750,-0.0589,-0.0077,0.0282,-0.0133,0.0122,-0.0050,
1.4750,-0.0186,-0.0110,-0.0104,-0.0133,0.0122,-0.0050,
1.4760,-0.0186,-0.0110,-0.0104,-0.0088,0.0024,0.0003,
1.5330,-0.0186,-0.0110,-0.0104,-0.0088,0.0024,0.0003,
1.5340,-0.0186,-0.0110,-0.0104,-0.0088,0.0024,0.0003,
1.5350,-0.0186,-0.0110,-0.0104,-0.0088,0.0024,0.0003,
