
time,ax,ay,az,wx,wy,wz,
0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1950,0.0000,0.0000,0.0000,-0.0068,0.0097,0.0053,
0.1960,-0.0244,-0.0192,0.0296,-0.0068,0.0097,0.0053,
0.2520,-0.0244,-0.0192,0.0296,-0.0068,0.0097,0.0053,
0.2530,-0.0244,-0.0192,0.0296,-0.0068,0.0097,0.0053,
0.2530,-0.0244,-0.0192,0.0296,-0.0068,0.0097,0.0053,
0.2540,-0.0244,-0.0192,0.0296,-0.0172,0.0134,0.0048,
0.2550,-0.0020,0.0028,0.0334,-0.0172,0.0134,0.0048,
0.3100,-0.0020,0.0028,0.0334,-0.0172,0.0134,0.0048,
0.3110,-0.0020,0.0028,0.0334,-0.0172,0.0134,0.0048,
0.3120,-0.0020,0.0028,0.0334,-0.0172,0.0134,0.0048,
0.3120,-0.0020,0.0028,0.0334,-0.0136,0.0097,0.0036,
0.3130,0.0170,0.0127,0.0117,-0.0136,0.0097,0.0036,
0.3690,0.0170,0.0127,0.0117,-0.0136,0.0097,0.0036,
0.3700,0.0170,0.0127,0.0117,-0.0136,0.0097,0.0036,
0.3700,0.0170,0.0127,0.0117,-0.0136,0.0097,0.0036,
0.3710,0.0170,0.0127,0.0117,-0.0164,0.0064,0.0056,
0.3710,0.0285,0.0074,0.0126,-0.0164,0.0064,0.0056,
0.4280,0.0285,0.0074,0.0126,-0.0164,0.0064,0.0056,
0.4290,0.0285,0.0074,0.0126,-0.0164,0.0064,0.0056,
0.4300,0.0285,0.0074,0.0126,-0.0164,0.0064,0.0056,
0.4300,0.0109,0.0026,0.0160,-0.0164,0.0064,0.0056,
0.4310,0.0109,0.0026,0.0160,-0.0152,0.0105,0.0060,
0.4860,0.0109,0.0026,0.0160,-0.0152,0.0105,0.0060,
0.4870,0.0109,0.0026,0.0160,-0.0152,0.0105,0.0060,
0.4880,0.0109,0.0026,0.0160,-0.0152,0.0105,0.0060,
0.4880,0.0109,0.0026,0.0160,-0.0099,0.0085,0.0080,
0.4890,0.0260,0.0078,0.0307,-0.0099,0.0085,0.0080,
0.5460,0.0260,0.0078,0.0307,-0.0099,0.0085,0.0080,
0.5480,0.0260,0.0078,0.0307,-0.0099,0.0085,0.0080,
0.5490,0.0260,0.0078,0.0307,-0.0099,0.0085,0.0080,
0.5490,0.0260,0.0078,0.0307,-0.0034,0.0158,0.0093,
0.5500,0.0414,-0.0004,0.0221,-0.0034,0.0158,0.0093,
0.6050,0.0484,-0.0217,0.0067,-0.0034,0.0158,0.0093,
0.6060,0.0484,-0.0217,0.0067,-0.0034,0.0158,0.0093,
0.6060,0.0484,-0.0217,0.0067,-0.0034,0.0158,0.0093,
0.6070,0.0484,-0.0217,0.0067,-0.0034,0.0158,0.0093,
0.6070,0.0484,-0.0217,0.0067,0.0031,0.0252,0.0040,
0.6620,0.0484,-0.0217,0.0067,0.0031,0.0252,0.0040,
0.6630,0.0484,-0.0217,0.0067,0.0031,0.0252,0.0040,
0.6630,0.0484,-0.0217,0.0067,0.0031,0.0252,0.0040,
0.6640,0.0484,-0.0217,0.0067,0.0068,0.0276,0.0007,
0.6640,0.0320,0.0195,0.0156,0.0068,0.0276,0.0007,
0.7220,0.0320,0.0195,0.0156,0.0068,0.0276,0.0007,
0.7230,0.0320,0.0195,0.0156,0.0068,0.0276,0.0007,
0.7240,0.0320,0.0195,0.0156,0.0068,0.0276,0.0007,
0.7250,0.0320,0.0195,0.0156,0.0125,0.0321,-0.0038,
0.7250,0.0335,-0.0112,0.0231,0.0125,0.0321,-0.0038,
0.7800,0.0335,-0.0112,0.0231,0.0125,0.0321,-0.0038,
0.7810,0.0335,-0.0112,0.0231,0.0125,0.0321,-0.0038,
0.7810,0.0335,-0.0112,0.0231,0.0125,0.0321,-0.0038,
0.7820,0.0335,-0.0112,0.0231,0.0068,0.0268,-0.0107,
0.7820,-0.0003,0.0083,0.0159,0.0068,0.0268,-0.0107,
0.8380,-0.0003,0.0083,0.0159,0.0068,0.0268,-0.0107,
0.8390,-0.0003,0.0083,0.0159,0.0068,0.0268,-0.0107,
0.8390,-0.0003,0.0083,0.0159,0.0068,0.0268,-0.0107,
0.8400,-0.0003,0.0083,0.0159,-0.0042,-0.0013,-0.0034,
0.8400,-0.0410,0.0633,0.0304,-0.0042,-0.0013,-0.0034,
0.8960,-0.0410,0.0633,0.0304,-0.0042,-0.0013,-0.0034,
0.8970,-0.0410,0.0633,0.0304,-0.0042,-0.0013,-0.0034,
0.8980,-0.0410,0.0633,0.0304,-0.0042,-0.0013,-0.0034,
0.8990,-0.0410,0.0633,0.0304,-0.0189,-0.0046,0.0076,
0.8990,0.0062,0.0082,0.0059,-0.0189,-0.0046,0.0076,
0.9550,0.0062,0.0082,0.0059,-0.0189,-0.0046,0.0076,
0.9560,0.0062,0.0082,0.0059,-0.0189,-0.0046,0.0076,
0.9560,0.0062,0.0082,0.0059,-0.0189,-0.0046,0.0076,
0.9570,0.0062,0.0082,0.0059,-0.0181,0.0076,0.0076,
0.9570,0.0897,0.0032,-0.0537,-0.0181,0.0076,0.0076,
1.0130,0.0897,0.0032,-0.0537,-0.0181,0.0076,0.0076,
1.0150,0.0897,0.0032,-0.0537,-0.0181,0.0076,0.0076,
1.0150,0.0897,0.0032,-0.0537,-0.0181,0.0076,0.0076,
1.0160,0.0897,0.0032,-0.0537,-0.0164,0.0256,-0.0009,
1.0160,0.0995,0.0059,-0.0301,-0.0164,0.0256,-0.0009,
1.0720,0.0995,0.0059,-0.0301,-0.0164,0.0256,-0.0009,
1.0730,0.0995,0.0059,-0.0301,-0.0164,0.0256,-0.0009,
1.0740,0.0995,0.0059,-0.0301,-0.0164,0.0256,-0.0009,
1.0740,0.0995,0.0059,-0.0301,-0.0144,0.0463,-0.0074,
1.0750,0.0581,-0.0208,-0.0003,-0.0144,0.0463,-0.0074,
1.1310,0.0581,-0.0208,-0.0003,-0.0144,0.0463,-0.0074,
1.1320,0.0581,-0.0208,-0.0003,-0.0144,0.0463,-0.0074,
1.1320,0.0581,-0.0208,-0.0003,-0.0144,0.0463,-0.0074,
1.1330,0.0581,-0.0208,-0.0003,-0.0095,0.0659,-0.0083,
1.1330,0.0855,0.0231,0.0166,-0.0095,0.0659,-0.0083,
1.1890,0.0855,0.0231,0.0166,-0.0095,0.0659,-0.0083,
1.1900,0.0855,0.0231,0.0166,-0.0095,0.0659,-0.0083,
1.1900,0.0855,0.0231,0.0166,-0.0095,0.0659,-0.0083,
1.1910,0.0814,-0.0093,0.0169,-0.0095,0.0659,-0.0083,
1.1910,0.0814,-0.0093,0.0169,-0.0058,0.0956,-0.0156,
1.2480,0.0814,-0.0093,0.0169,-0.0058,0.0956,-0.0156,
1.2490,0.0814,-0.0093,0.0169,-0.0058,0.0956,-0.0156,
1.2500,0.0814,-0.0093,0.0169,-0.0058,0.0956,-0.0156,
1.2500,0.0814,-0.0093,0.0169,-0.0075,0.1095,-0.0197,
1.2510,-0.0290,0.0329,-0.0181,-0.0075,0.1095,-0.0197,
1.3060,-0.0290,0.0329,-0.0181,-0.0075,0.1095,-0.0197,
1.3070,-0.0290,0.0329,-0.0181,-0.0075,0.1095,-0.0197,
1.3070,-0.0290,0.0329,-0.0181,-0.0075,0.1095,-0.0197,
1.3080,-0.0590,0.0191,0.0268,-0.0075,0.1095,-0.0197,
1.3090,-0.0590,0.0191,0.0268,-0.0148,0.0936,-0.0131,
1.3640,-0.0590,0.0191,0.0268,-0.0148,0.0936,-0.0131,
1.3650,-0.0590,0.0191,0.0268,-0.0148,0.0936,-0.0131,
1.3650,-0.0590,0.0191,0.0268,-0.0148,0.0936,-0.0131,
1.3650,-0.0590,0.0191,0.0268,-0.0233,0.0728,-0.0123,
1.3650,-0.0759,-0.0187,0.1092,-0.0233,0.0728,-0.0123,
1.4240,-0.0759,-0.0187,0.1092,-0.0233,0.0728,-0.0123,
1.4240,-0.0759,-0.0187,0.1092,-0.0233,0.0728,-0.0123,
1.4250,-0.0759,-0.0187,0.1092,-0.0233,0.0728,-0.0123,
1.4250,-0.0759,-0.0187,0.1092,-0.0160,0.0806,-0.0127,
1.4250,0.0746,-0.0163,0.0563,-0.0160,0.0806,-0.0127,
1.4840,0.0746,-0.0163,0.0563,-0.0160,0.0806,-0.0127,
1.4850,0.0746,-0.0163,0.0563,-0.0160,0.0806,-0.0127,
1.4850,0.0746,-0.0163,0.0563,-0.0160,0.0806,-0.0127,
1.4850,0.0746,-0.0163,0.0563,-0.0075,0.1054,-0.0197,
1.4860,0.0491,-0.0094,-0.0535,-0.0075,0.1054,-0.0197,
1.5400,0.0491,-0.0094,-0.0535,-0.0075,0.1054,-0.0197,
1.5410,0.0491,-0.0094,-0.0535,-0.0075,0.1054,-0.0197,
1.5420,0.0491,-0.0094,-0.0535,-0.0075,0.1054,-0.0197,
1.5420,0.0491,-0.0094,-0.0535,-0.0152,0.1172,-0.0209,
1.5430,-0.0186,0.0515,-0.0763,-0.0152,0.1172,-0.0209,
1.5990,-0.0186,0.0515,-0.0763,-0.0152,0.1172,-0.0209,
1.6000,-0.0186,0.0515,-0.0763,-0.0152,0.1172,-0.0209,
1.6010,-0.0186,0.0515,-0.0763,-0.0152,0.1172,-0.0209,
1.6010,-0.0186,0.0515,-0.0763,-0.0258,0.0887,-0.0144,
1.6020,-0.1493,0.0164,0.0253,-0.0258,0.0887,-0.0144,
1.6600,-0.1493,0.0164,0.0253,-0.0258,0.0887,-0.0144,
1.6610,-0.1493,0.0164,0.0253,-0.0258,0.0887,-0.0144,
1.6620,-0.1493,0.0164,0.0253,-0.0258,0.0887,-0.0144,
1.6620,-0.1493,0.0164,0.0253,-0.0250,0.0590,-0.0058,
1.6630,-0.0436,-0.0401,0.1126,-0.0250,0.0590,-0.0058,
1.7160,-0.0436,-0.0401,0.1126,-0.0250,0.0590,-0.0058,
1.7170,-0.0436,-0.0401,0.1126,-0.0250,0.0590,-0.0058,
1.7180,-0.0436,-0.0401,0.1126,-0.0250,0.0590,-0.0058,
1.7180,-0.0436,-0.0401,0.1126,-0.0071,0.0736,-0.0078,
1.7190,0.0193,-0.0264,0.0655,-0.0071,0.0736,-0.0078,
1.7760,-0.1073,-0.0300,-0.0653,-0.0071,0.0736,-0.0078,
