
time,ax,ay,az,wx,wy,wz,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
