
time,ax,ay,az,wx,wy,wz,
0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1950,0.0000,0.0000,0.0000,0.0269,0.0630,-0.0078,
0.1960,-0.0487,0.0411,0.0270,0.0269,0.0630,-0.0078,
0.2590,-0.0487,0.0411,0.0270,0.0269,0.0630,-0.0078,
0.2590,-0.0487,0.0411,0.0270,0.0269,0.0630,-0.0078,
0.2600,-0.0487,0.0411,0.0270,0.0269,0.0630,-0.0078,
0.2600,-0.0291,-0.0093,0.0135,0.0269,0.0630,-0.0078,
0.2610,-0.0291,-0.0093,0.0135,0.0031,0.0064,0.0040,
0.3070,-0.0291,-0.0093,0.0135,0.0031,0.0064,0.0040,
0.3080,-0.0291,-0.0093,0.0135,0.0031,0.0064,0.0040,
0.3080,-0.0291,-0.0093,0.0135,0.0031,0.0064,0.0040,
0.3090,-0.0291,-0.0093,0.0135,0.0056,-0.0070,-0.0001,
0.3090,0.0602,-0.0434,0.0174,0.0056,-0.0070,-0.0001,
0.3760,0.0602,-0.0434,0.0174,0.0056,-0.0070,-0.0001,
0.3770,0.0602,-0.0434,0.0174,0.0056,-0.0070,-0.0001,
0.3770,0.0602,-0.0434,0.0174,0.0056,-0.0070,-0.0001,
0.3780,0.0602,-0.0434,0.0174,0.0117,0.0186,-0.0021,
0.3780,0.0246,-0.0419,0.0490,0.0117,0.0186,-0.0021,
0.4250,0.0246,-0.0419,0.0490,0.0117,0.0186,-0.0021,
0.4260,0.0246,-0.0419,0.0490,0.0117,0.0186,-0.0021,
0.4270,0.0246,-0.0419,0.0490,0.0117,0.0186,-0.0021,
0.4270,0.0246,-0.0419,0.0490,0.0394,0.0443,-0.0009,
0.4280,-0.0185,0.0107,-0.0634,0.0394,0.0443,-0.0009,
0.4900,-0.0185,0.0107,-0.0634,0.0394,0.0443,-0.0009,
0.4910,-0.0185,0.0107,-0.0634,0.0394,0.0443,-0.0009,
0.4910,-0.0185,0.0107,-0.0634,0.0394,0.0443,-0.0009,
0.4920,-0.0185,0.0107,-0.0634,-0.0185,-0.0176,0.0732,
0.4920,0.1840,0.2947,0.0327,-0.0185,-0.0176,0.0732,
0.5400,0.1840,0.2947,0.0327,-0.0185,-0.0176,0.0732,
0.5400,0.1840,0.2947,0.0327,-0.0185,-0.0176,0.0732,
0.5410,0.1840,0.2947,0.0327,-0.0185,-0.0176,0.0732,
0.5410,0.1840,0.2947,0.0327,-0.0576,-0.0384,0.0251,
0.5420,-0.0151,-0.2783,0.0119,-0.0576,-0.0384,0.0251,
0.6050,-0.0151,-0.2783,0.0119,-0.0576,-0.0384,0.0251,
0.6060,-0.0151,-0.2783,0.0119,-0.0576,-0.0384,0.0251,
0.6060,-0.0151,-0.2783,0.0119,-0.0576,-0.0384,0.0251,
0.6070,-0.0151,-0.2783,0.0119,0.0117,0.0545,0.0011,
0.6070,0.0206,0.0741,0.0428,0.0117,0.0545,0.0011,
0.6720,0.0206,0.0741,0.0428,0.0117,0.0545,0.0011,
0.6730,0.0206,0.0741,0.0428,0.0117,0.0545,0.0011,
0.6740,0.0206,0.0741,0.0428,0.0117,0.0545,0.0011,
0.6740,0.0206,0.0741,0.0428,-0.0038,0.0435,0.0015,
0.6750,0.0060,-0.0120,-0.0149,-0.0038,0.0435,0.0015,
0.7230,0.0060,-0.0120,-0.0149,-0.0038,0.0435,0.0015,
0.7240,0.0060,-0.0120,-0.0149,-0.0038,0.0435,0.0015,
0.7250,0.0060,-0.0120,-0.0149,-0.0038,0.0435,0.0015,
0.7260,0.0060,-0.0120,-0.0149,0.0007,0.0463,-0.0038,
0.7270,-0.0552,0.0104,0.0391,0.0007,0.0463,-0.0038,
0.7880,-0.0552,0.0104,0.0391,0.0007,0.0463,-0.0038,
0.7890,-0.0552,0.0104,0.0391,0.0007,0.0463,-0.0038,
0.7900,-0.0552,0.0104,0.0391,0.0007,0.0463,-0.0038,
0.7900,-0.0552,0.0104,0.0391,-0.0009,0.0280,0.0015,
0.7910,-0.0420,0.0006,0.0217,-0.0009,0.0280,0.0015,
0.8370,-0.0420,0.0006,0.0217,-0.0009,0.0280,0.0015,
0.8380,-0.0420,0.0006,0.0217,-0.0009,0.0280,0.0015,
0.8390,-0.0420,0.0006,0.0217,-0.0009,0.0280,0.0015,
0.8390,-0.0420,0.0006,0.0217,-0.0050,0.0178,0.0036,
0.8400,-0.0411,0.0014,0.0121,-0.0050,0.0178,0.0036,
0.9060,-0.0411,0.0014,0.0121,-0.0050,0.0178,0.0036,
0.9070,-0.0411,0.0014,0.0121,-0.0050,0.0178,0.0036,
0.9070,-0.0411,0.0014,0.0121,-0.0050,0.0178,0.0036,
0.9080,-0.0411,0.0014,0.0121,-0.0062,0.0068,0.0003,
0.9090,-0.0053,-0.0042,0.0455,-0.0062,0.0068,0.0003,
0.9560,-0.0053,-0.0042,0.0455,-0.0062,0.0068,0.0003,
0.9570,-0.0053,-0.0042,0.0455,-0.0062,0.0068,0.0003,
0.9580,-0.0053,-0.0042,0.0455,-0.0062,0.0068,0.0003,
0.9580,-0.0053,-0.0042,0.0455,-0.0046,0.0003,-0.0025,
0.9590,-0.0460,-0.0110,0.0261,-0.0046,0.0003,-0.0025,
1.0210,-0.0460,-0.0110,0.0261,-0.0046,0.0003,-0.0025,
1.0220,-0.0460,-0.0110,0.0261,-0.0046,0.0003,-0.0025,
1.0230,-0.0460,-0.0110,0.0261,-0.0046,0.0003,-0.0025,
1.0230,-0.0460,-0.0110,0.0261,-0.0022,-0.0131,-0.0034,
1.0240,-0.0007,0.0016,0.0207,-0.0022,-0.0131,-0.0034,
1.0700,-0.0007,0.0016,0.0207,-0.0022,-0.0131,-0.0034,
1.0710,-0.0007,0.0016,0.0207,-0.0022,-0.0131,-0.0034,
1.0720,-0.0007,0.0016,0.0207,-0.0022,-0.0131,-0.0034,
1.0730,-0.0007,0.0016,0.0207,-0.0022,-0.0201,-0.0021,
1.0730,0.0019,0.0049,0.0253,-0.0022,-0.0201,-0.0021,
1.1360,0.0019,0.0049,0.0253,-0.0022,-0.0201,-0.0021,
1.1370,0.0019,0.0049,0.0253,-0.0022,-0.0201,-0.0021,
1.1370,0.0019,0.0049,0.0253,-0.0022,-0.0201,-0.0021,
1.1380,0.0019,0.0049,0.0253,-0.0050,-0.0160,-0.0001,
1.1380,0.0043,-0.0045,0.0028,-0.0050,-0.0160,-0.0001,
1.1860,0.0043,-0.0045,0.0028,-0.0050,-0.0160,-0.0001,
1.1870,0.0043,-0.0045,0.0028,-0.0050,-0.0160,-0.0001,
1.1880,0.0043,-0.0045,0.0028,-0.0050,-0.0160,-0.0001,
1.1880,0.0043,-0.0045,0.0028,-0.0095,-0.0168,0.0027,
1.1890,0.0405,-0.0105,0.0321,-0.0095,-0.0168,0.0027,
1.2490,0.0405,-0.0105,0.0321,-0.0095,-0.0168,0.0027,
1.2500,0.0405,-0.0105,0.0321,-0.0095,-0.0168,0.0027,
1.2500,0.0405,-0.0105,0.0321,-0.0095,-0.0168,0.0027,
1.2500,0.0405,-0.0105,0.0321,-0.0038,-0.0074,0.0003,
1.2510,0.0130,-0.0075,0.0212,-0.0038,-0.0074,0.0003,
1.3010,0.0130,-0.0075,0.0212,-0.0038,-0.0074,0.0003,
1.3020,0.0130,-0.0075,0.0212,-0.0038,-0.0074,0.0003,
1.3030,0.0130,-0.0075,0.0212,-0.0038,-0.0074,0.0003,
1.3030,0.0130,-0.0075,0.0212,-0.0014,0.0024,0.0011,
1.3040,0.0080,-0.0075,0.0141,-0.0014,0.0024,0.0011,
1.3690,0.0080,-0.0075,0.0141,-0.0014,0.0024,0.0011,
1.3700,0.0080,-0.0075,0.0141,-0.0014,0.0024,0.0011,
1.3700,0.0080,-0.0075,0.0141,-0.0014,0.0024,0.0011,
