
time,ax,ay,az,wx,wy,wz,
0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1910,0.0000,0.0000,0.0000,0.0073,0.0197,0.0014,
0.1920,0.0267,0.0159,0.0060,0.0073,0.0197,0.0014,
0.2450,0.0267,0.0159,0.0060,0.0073,0.0197,0.0014,
0.2460,0.0267,0.0159,0.0060,0.0073,0.0197,0.0014,
0.2470,0.0267,0.0159,0.0060,0.0073,0.0197,0.0014,
0.2470,-0.0511,-0.0429,-0.0016,0.0073,0.0197,0.0014,
0.2480,-0.0511,-0.0429,-0.0016,-0.0005,0.0028,-0.0034,
0.3050,-0.0511,-0.0429,-0.0016,-0.0005,0.0028,-0.0034,
0.3070,-0.0511,-0.0429,-0.0016,-0.0005,0.0028,-0.0034,
0.3080,-0.0511,-0.0429,-0.0016,-0.0005,0.0028,-0.0034,
0.3080,-0.0511,-0.0429,-0.0016,0.0133,0.0072,-0.0074,
0.3090,-0.0681,0.0144,-0.0363,0.0133,0.0072,-0.0074,
0.3640,-0.0681,0.0144,-0.0363,0.0133,0.0072,-0.0074,
0.3650,-0.0681,0.0144,-0.0363,0.0133,0.0072,-0.0074,
0.3650,-0.0681,0.0144,-0.0363,0.0133,0.0072,-0.0074,
0.3660,-0.0681,0.0144,-0.0363,0.0113,-0.0066,-0.0038,
0.3660,-0.0737,0.0358,0.0285,0.0113,-0.0066,-0.0038,
0.4240,-0.0737,0.0358,0.0285,0.0113,-0.0066,-0.0038,
0.4250,-0.0737,0.0358,0.0285,0.0113,-0.0066,-0.0038,
0.4260,-0.0737,0.0358,0.0285,0.0113,-0.0066,-0.0038,
0.4260,-0.0737,0.0358,0.0285,0.0153,0.0166,-0.0160,
0.4270,-0.0303,-0.0236,-0.0724,0.0153,0.0166,-0.0160,
0.4800,-0.0303,-0.0236,-0.0724,0.0153,0.0166,-0.0160,
0.4800,-0.0303,-0.0236,-0.0724,0.0153,0.0166,-0.0160,
0.4810,-0.0303,-0.0236,-0.0724,0.0153,0.0166,-0.0160,
0.4820,-0.0303,-0.0236,-0.0724,-0.0014,-0.0204,-0.0001,
0.4820,0.0047,0.0037,-0.0103,-0.0014,-0.0204,-0.0001,
0.5380,0.0047,0.0037,-0.0103,-0.0014,-0.0204,-0.0001,
