
time,ax,ay,az,wx,wy,wz,
0.0720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1910,0.0000,0.0000,0.0000,0.0035,-0.0094,0.0040,
0.1910,0.0988,-0.0112,0.0518,0.0035,-0.0094,0.0040,
0.2470,0.0988,-0.0112,0.0518,0.0035,-0.0094,0.0040,
0.2480,0.0988,-0.0112,0.0518,0.0035,-0.0094,0.0040,
0.2490,0.0988,-0.0112,0.0518,0.0035,-0.0094,0.0040,
0.2500,0.1393,0.0019,0.0587,0.0035,-0.0094,0.0040,
0.2500,0.1393,0.0019,0.0587,-0.0075,-0.0164,0.0007,
0.3060,0.1393,0.0019,0.0587,-0.0075,-0.0164,0.0007,
0.3070,0.1393,0.0019,0.0587,-0.0075,-0.0164,0.0007,
0.3070,0.1393,0.0019,0.0587,-0.0075,-0.0164,0.0007,
0.3080,0.1393,0.0019,0.0587,-0.0152,-0.0038,0.0027,
0.3080,0.0746,-0.0294,0.0481,-0.0152,-0.0038,0.0027,
0.3650,0.0746,-0.0294,0.0481,-0.0152,-0.0038,0.0027,
0.3660,0.0746,-0.0294,0.0481,-0.0152,-0.0038,0.0027,
0.3670,0.0746,-0.0294,0.0481,-0.0152,-0.0038,0.0027,
0.3670,0.0746,-0.0294,0.0481,-0.0103,-0.0013,0.0072,
0.3680,0.1060,-0.0169,0.0038,-0.0103,-0.0013,0.0072,
0.4250,0.1060,-0.0169,0.0038,-0.0103,-0.0013,0.0072,
0.4260,0.1060,-0.0169,0.0038,-0.0103,-0.0013,0.0072,
0.4260,0.1060,-0.0169,0.0038,-0.0103,-0.0013,0.0072,
0.4270,0.1060,-0.0169,0.0038,-0.0148,0.0109,0.0044,
0.4270,0.0621,-0.0197,-0.0040,-0.0148,0.0109,0.0044,
0.4820,0.0621,-0.0197,-0.0040,-0.0148,0.0109,0.0044,
0.4830,0.0621,-0.0197,-0.0040,-0.0148,0.0109,0.0044,
0.4840,0.0621,-0.0197,-0.0040,-0.0148,0.0109,0.0044,
0.4850,0.0621,-0.0197,-0.0040,-0.0148,0.0101,0.0052,
0.4850,0.0498,-0.0323,0.0343,-0.0148,0.0101,0.0052,
0.5410,0.0498,-0.0323,0.0343,-0.0148,0.0101,0.0052,
0.5410,0.0498,-0.0323,0.0343,-0.0148,0.0101,0.0052,
0.5420,0.0498,-0.0323,0.0343,-0.0148,0.0101,0.0052,
0.5430,0.0498,-0.0323,0.0343,-0.0083,0.0121,0.0019,
0.5430,0.0319,-0.0123,0.0241,-0.0083,0.0121,0.0019,
0.5990,0.0319,-0.0123,0.0241,-0.0083,0.0121,0.0019,
0.6000,0.0319,-0.0123,0.0241,-0.0083,0.0121,0.0019,
0.6010,0.0319,-0.0123,0.0241,-0.0083,0.0121,0.0019,
0.6010,0.0319,-0.0123,0.0241,-0.0063,0.0093,-0.0001,
0.6020,0.0222,-0.0156,0.0287,-0.0063,0.0093,-0.0001,
0.6580,0.0222,-0.0156,0.0287,-0.0063,0.0093,-0.0001,
0.6590,0.0222,-0.0156,0.0287,-0.0063,0.0093,-0.0001,
0.6600,0.0222,-0.0156,0.0287,-0.0063,0.0093,-0.0001,
0.6600,0.0222,-0.0156,0.0287,-0.0014,0.0060,-0.0030,
0.6610,0.0301,0.0061,-0.0039,-0.0014,0.0060,-0.0030,
0.7170,0.0301,0.0061,-0.0039,-0.0014,0.0060,-0.0030,
0.7180,0.0301,0.0061,-0.0039,-0.0014,0.0060,-0.0030,
0.7190,0.0301,0.0061,-0.0039,-0.0014,0.0060,-0.0030,
0.7200,0.0301,0.0061,-0.0039,-0.0046,0.0036,-0.0042,
0.7210,0.0343,-0.0060,0.0001,-0.0046,0.0036,-0.0042,
0.7750,0.0343,-0.0060,0.0001,-0.0046,0.0036,-0.0042,
0.7760,0.0343,-0.0060,0.0001,-0.0046,0.0036,-0.0042,
0.7760,0.0343,-0.0060,0.0001,-0.0046,0.0036,-0.0042,
0.7760,0.0265,-0.0069,-0.0220,-0.0046,0.0036,-0.0042,
0.7770,0.0265,-0.0069,-0.0220,-0.0046,0.0023,-0.0021,
0.8330,0.0265,-0.0069,-0.0220,-0.0046,0.0023,-0.0021,
0.8340,0.0265,-0.0069,-0.0220,-0.0046,0.0023,-0.0021,
0.8340,0.0265,-0.0069,-0.0220,-0.0046,0.0023,-0.0021,
0.8350,0.0265,-0.0069,-0.0220,-0.0042,0.0024,-0.0013,
0.8350,0.0305,-0.0148,-0.0017,-0.0042,0.0024,-0.0013,
0.8930,0.0305,-0.0148,-0.0017,-0.0042,0.0024,-0.0013,
0.8930,0.0305,-0.0148,-0.0017,-0.0042,0.0024,-0.0013,
0.8930,0.0305,-0.0148,-0.0017,-0.0042,0.0024,-0.0013,
0.8940,0.0305,-0.0148,-0.0017,-0.0022,0.0048,-0.0005,
0.8940,0.0186,-0.0125,0.0097,-0.0022,0.0048,-0.0005,
0.9510,0.0186,-0.0125,0.0097,-0.0022,0.0048,-0.0005,
0.9520,0.0186,-0.0125,0.0097,-0.0022,0.0048,-0.0005,
0.9520,0.0186,-0.0125,0.0097,-0.0022,0.0048,-0.0005,
0.9530,0.0186,-0.0125,0.0097,0.0019,0.0024,-0.0025,
0.9530,0.0127,0.0054,0.0154,0.0019,0.0024,-0.0025,
1.0100,0.0127,0.0054,0.0154,0.0019,0.0024,-0.0025,
1.0110,0.0127,0.0054,0.0154,0.0019,0.0024,-0.0025,
1.0120,0.0127,0.0054,0.0154,0.0019,0.0024,-0.0025,
1.0120,0.0127,0.0054,0.0154,0.0080,0.0036,-0.0038,
1.0130,0.0123,-0.0484,-0.0048,0.0080,0.0036,-0.0038,
1.0680,0.0123,-0.0484,-0.0048,0.0080,0.0036,-0.0038,
1.0690,0.0123,-0.0484,-0.0048,0.0080,0.0036,-0.0038,
1.0690,0.0123,-0.0484,-0.0048,0.0080,0.0036,-0.0038,
1.0700,0.0123,-0.0484,-0.0048,0.0174,-0.0029,-0.0050,
1.0700,-0.0374,-0.0041,-0.0254,0.0174,-0.0029,-0.0050,
