
time,ax,ay,az,wx,wy,wz,
0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1970,0.0000,0.0000,0.0000,0.0117,0.0116,0.0131,
0.1970,-0.0747,0.0150,-0.0608,0.0117,0.0116,0.0131,
0.2540,-0.0747,0.0150,-0.0608,0.0117,0.0116,0.0131,
0.2550,-0.0747,0.0150,-0.0608,0.0117,0.0116,0.0131,
0.2550,-0.0747,0.0150,-0.0608,0.0117,0.0116,0.0131,
0.2560,-0.0747,0.0150,-0.0608,0.0027,-0.0050,0.0052,
0.2560,-0.0725,0.0637,0.0083,0.0027,-0.0050,0.0052,
0.3120,-0.0725,0.0637,0.0083,0.0027,-0.0050,0.0052,
0.3120,-0.0725,0.0637,0.0083,0.0027,-0.0050,0.0052,
0.3130,-0.0725,0.0637,0.0083,0.0027,-0.0050,0.0052,
0.3140,-0.0725,0.0637,0.0083,-0.0009,-0.0009,0.0032,
0.3140,-0.1022,0.0222,0.0878,-0.0009,-0.0009,0.0032,
0.3720,-0.1022,0.0222,0.0878,-0.0009,-0.0009,0.0032,
0.3730,-0.1022,0.0222,0.0878,-0.0009,-0.0009,0.0032,
0.3730,-0.1022,0.0222,0.0878,-0.0009,-0.0009,0.0032,
0.3740,-0.1022,0.0222,0.0878,-0.0001,0.0109,0.0040,
0.3740,-0.0178,-0.0370,0.0027,-0.0001,0.0109,0.0040,
0.4290,-0.0178,-0.0370,0.0027,-0.0001,0.0109,0.0040,
0.4300,-0.0178,-0.0370,0.0027,-0.0001,0.0109,0.0040,
0.4310,-0.0178,-0.0370,0.0027,-0.0001,0.0109,0.0040,
0.4320,-0.0178,-0.0370,0.0027,0.0108,-0.0038,0.0040,
0.4320,-0.0402,0.0712,-0.0441,0.0108,-0.0038,0.0040,
0.4890,-0.0402,0.0712,-0.0441,0.0108,-0.0038,0.0040,
0.4900,-0.0402,0.0712,-0.0441,0.0108,-0.0038,0.0040,
0.4900,-0.0402,0.0712,-0.0441,0.0108,-0.0038,0.0040,
0.4910,-0.0402,0.0712,-0.0441,0.0007,-0.0074,0.0011,
0.4910,-0.0283,-0.0014,0.0373,0.0007,-0.0074,0.0011,
0.5460,-0.0283,-0.0014,0.0373,0.0007,-0.0074,0.0011,
0.5470,-0.0283,-0.0014,0.0373,0.0007,-0.0074,0.0011,
0.5480,-0.0283,-0.0014,0.0373,0.0007,-0.0074,0.0011,
