
time,ax,ay,az,wx,wy,wz,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1810,0.0000,0.0000,0.0000,0.0338,-0.0836,0.0220,
0.1820,-0.0088,-0.0043,0.0240,0.0338,-0.0836,0.0220,
0.2390,-0.0088,-0.0043,0.0240,0.0338,-0.0836,0.0220,
0.2390,-0.0088,-0.0043,0.0240,0.0338,-0.0836,0.0220,
0.2400,-0.0088,-0.0043,0.0240,0.0338,-0.0836,0.0220,
0.2410,-0.0088,-0.0043,0.0240,0.0060,0.0008,-0.0019,
0.2410,-0.0291,0.0024,0.0272,0.0060,0.0008,-0.0019,
0.2960,-0.0291,0.0024,0.0272,0.0060,0.0008,-0.0019,
0.2970,-0.0291,0.0024,0.0272,0.0060,0.0008,-0.0019,
0.2980,-0.0291,0.0024,0.0272,0.0060,0.0008,-0.0019,
0.2980,-0.0291,0.0024,0.0272,0.0060,0.0045,-0.0036,
0.2990,-0.0186,-0.0041,0.0279,0.0060,0.0045,-0.0036,
0.3550,-0.0186,-0.0041,0.0279,0.0060,0.0045,-0.0036,
0.3560,-0.0186,-0.0041,0.0279,0.0060,0.0045,-0.0036,
0.3560,-0.0186,-0.0041,0.0279,0.0060,0.0045,-0.0036,
0.3570,-0.0088,-0.0038,0.0243,0.0060,0.0045,-0.0036,
