
time,ax,ay,az,wx,wy,wz,
0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.1790,0.0000,0.0000,0.0000,0.0000,-0.0028,-0.0054,
0.1790,-0.0157,-0.0130,0.0123,0.0000,-0.0028,-0.0054,
0.2360,-0.0157,-0.0130,0.0123,0.0000,-0.0028,-0.0054,
0.2370,-0.0157,-0.0130,0.0123,0.0000,-0.0028,-0.0054,
0.2380,-0.0157,-0.0130,0.0123,0.0000,-0.0028,-0.0054,
0.2380,0.0053,0.0137,-0.0296,0.0000,-0.0028,-0.0054,
0.2390,0.0053,0.0137,-0.0296,-0.0087,-0.0514,0.0044,
0.2940,0.0053,0.0137,-0.0296,-0.0087,-0.0514,0.0044,
0.2950,0.0053,0.0137,-0.0296,-0.0087,-0.0514,0.0044,
0.2950,0.0053,0.0137,-0.0296,-0.0087,-0.0514,0.0044,
0.2960,0.0496,-0.0420,0.0082,-0.0087,-0.0514,0.0044,
0.2970,0.0496,-0.0420,0.0082,-0.0136,-0.0502,0.0036,
0.3530,0.0496,-0.0420,0.0082,-0.0136,-0.0502,0.0036,
0.3540,0.0496,-0.0420,0.0082,-0.0136,-0.0502,0.0036,
0.3540,0.0496,-0.0420,0.0082,-0.0136,-0.0502,0.0036,
0.3550,-0.0124,0.0930,-0.0449,-0.0136,-0.0502,0.0036,
0.3560,-0.0124,0.0930,-0.0449,-0.0046,-0.0404,0.0027,
0.4110,-0.0124,0.0930,-0.0449,-0.0046,-0.0404,0.0027,
0.4120,-0.0124,0.0930,-0.0449,-0.0046,-0.0404,0.0027,
0.4120,-0.0124,0.0930,-0.0449,-0.0046,-0.0404,0.0027,
0.4130,-0.0124,0.0930,-0.0449,-0.0242,-0.0534,-0.0034,
0.4140,0.0653,-0.1144,0.0785,-0.0242,-0.0534,-0.0034,
0.4700,0.0653,-0.1144,0.0785,-0.0242,-0.0534,-0.0034,
0.4720,0.0653,-0.1144,0.0785,-0.0242,-0.0534,-0.0034,
0.4720,0.0653,-0.1144,0.0785,-0.0242,-0.0534,-0.0034,
0.4730,0.0653,-0.1144,0.0785,-0.0136,-0.0245,0.0060,
0.4730,0.0361,0.0065,-0.0296,-0.0136,-0.0245,0.0060,
0.5290,0.0361,0.0065,-0.0296,-0.0136,-0.0245,0.0060,
0.5300,0.0361,0.0065,-0.0296,-0.0136,-0.0245,0.0060,
0.5310,0.0361,0.0065,-0.0296,-0.0136,-0.0245,0.0060,
0.5320,0.0342,-0.0049,-0.0176,-0.0136,-0.0245,0.0060,
0.5320,0.0342,-0.0049,-0.0176,-0.0124,-0.0086,0.0048,
0.5870,0.0342,-0.0049,-0.0176,-0.0124,-0.0086,0.0048,
0.5880,0.0342,-0.0049,-0.0176,-0.0124,-0.0086,0.0048,
0.5880,0.0342,-0.0049,-0.0176,-0.0124,-0.0086,0.0048,
0.5890,0.0342,-0.0049,-0.0176,-0.0119,-0.0009,0.0093,
0.5890,0.0208,-0.0117,-0.0175,-0.0119,-0.0009,0.0093,
0.6460,0.0208,-0.0117,-0.0175,-0.0119,-0.0009,0.0093,
0.6470,0.0208,-0.0117,-0.0175,-0.0119,-0.0009,0.0093,
0.6490,0.0208,-0.0117,-0.0175,-0.0119,-0.0009,0.0093,
0.6490,0.0208,-0.0117,-0.0175,-0.0042,0.0125,0.0040,
0.6500,-0.0144,-0.0341,-0.0453,-0.0042,0.0125,0.0040,
0.7040,-0.0144,-0.0341,-0.0453,-0.0042,0.0125,0.0040,
0.7050,-0.0144,-0.0341,-0.0453,-0.0042,0.0125,0.0040,
0.7060,-0.0144,-0.0341,-0.0453,-0.0042,0.0125,0.0040,
0.7070,-0.0144,-0.0341,-0.0453,-0.0071,0.0142,0.0052,
0.7070,-0.0777,-0.0082,-0.0416,-0.0071,0.0142,0.0052,
0.7640,-0.0777,-0.0082,-0.0416,-0.0071,0.0142,0.0052,
0.7660,-0.0777,-0.0082,-0.0416,-0.0071,0.0142,0.0052,
0.7660,-0.0777,-0.0082,-0.0416,-0.0071,0.0142,0.0052,
0.7670,-0.0777,-0.0082,-0.0416,-0.0030,0.0048,0.0162,
0.7670,-0.0015,0.0186,-0.0269,-0.0030,0.0048,0.0162,
0.8210,-0.0015,0.0186,-0.0269,-0.0030,0.0048,0.0162,
0.8220,-0.0015,0.0186,-0.0269,-0.0030,0.0048,0.0162,
0.8230,-0.0015,0.0186,-0.0269,-0.0030,0.0048,0.0162,
0.8230,-0.0015,0.0186,-0.0269,-0.0083,0.0129,0.0166,
0.8240,0.0266,-0.0110,-0.0465,-0.0083,0.0129,0.0166,
0.8800,0.0266,-0.0110,-0.0465,-0.0083,0.0129,0.0166,
