
time,ax,ay,az,wx,wy,wz,
0.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0650,0.0000,0.0000,0.0000,0.0041,0.0060,-0.0154,
0.1210,0.0000,0.0000,0.0000,0.0041,0.0060,-0.0154,
0.1220,0.0000,0.0000,0.0000,0.0041,0.0060,-0.0154,
0.1220,0.0000,0.0000,0.0000,0.0041,0.0060,-0.0154,
0.1220,0.0000,0.0000,0.0000,0.0098,0.0007,-0.0109,
0.1230,-0.0034,0.0936,-0.0588,0.0098,0.0007,-0.0109,
0.1800,-0.0034,0.0936,-0.0588,0.0098,0.0007,-0.0109,
0.1810,-0.0034,0.0936,-0.0588,0.0098,0.0007,-0.0109,
0.1810,-0.0034,0.0936,-0.0588,0.0098,0.0007,-0.0109,
0.1820,-0.0034,0.0936,-0.0588,-0.0041,-0.0001,-0.0012,
0.1820,-0.0344,-0.0100,0.0348,-0.0041,-0.0001,-0.0012,
0.2390,-0.0344,-0.0100,0.0348,-0.0041,-0.0001,-0.0012,
0.2400,-0.0344,-0.0100,0.0348,-0.0041,-0.0001,-0.0012,
0.2410,-0.0344,-0.0100,0.0348,-0.0041,-0.0001,-0.0012,
0.2410,-0.0344,-0.0100,0.0348,0.0020,-0.0030,0.0049,
0.2420,-0.0465,0.0455,-0.0029,0.0020,-0.0030,0.0049,
0.2970,-0.0465,0.0455,-0.0029,0.0020,-0.0030,0.0049,
0.2980,-0.0465,0.0455,-0.0029,0.0020,-0.0030,0.0049,
0.2990,-0.0465,0.0455,-0.0029,0.0020,-0.0030,0.0049,
0.2990,-0.0465,0.0455,-0.0029,-0.0041,-0.0123,0.0127,
