
time,ax,ay,az,wx,wy,wz,
0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0680,0.0000,0.0000,0.0000,0.0102,0.0117,0.0098,
0.1240,0.0000,0.0000,0.0000,0.0102,0.0117,0.0098,
0.1250,0.0000,0.0000,0.0000,0.0102,0.0117,0.0098,
0.1250,0.0000,0.0000,0.0000,0.0102,0.0117,0.0098,
0.1260,0.0000,0.0000,0.0000,0.0057,0.0271,0.0033,
0.1260,-0.0173,0.0045,-0.0029,0.0057,0.0271,0.0033,
0.1820,-0.0173,0.0045,-0.0029,0.0057,0.0271,0.0033,
0.1830,-0.0173,0.0045,-0.0029,0.0057,0.0271,0.0033,
0.1830,-0.0173,0.0045,-0.0029,0.0057,0.0271,0.0033,
0.1840,-0.0173,0.0045,-0.0029,0.0037,0.0255,0.0037,
0.1840,-0.0336,-0.0092,-0.0215,0.0037,0.0255,0.0037,
0.2410,-0.0336,-0.0092,-0.0215,0.0037,0.0255,0.0037,
0.2410,-0.0336,-0.0092,-0.0215,0.0037,0.0255,0.0037,
0.2420,-0.0336,-0.0092,-0.0215,0.0037,0.0255,0.0037,
0.2420,-0.0336,-0.0092,-0.0215,0.0061,0.0194,0.0037,
0.2440,-0.0277,-0.0074,-0.0176,0.0061,0.0194,0.0037,
0.2990,-0.0277,-0.0074,-0.0176,0.0061,0.0194,0.0037,
0.2990,-0.0277,-0.0074,-0.0176,0.0061,0.0194,0.0037,
0.3000,-0.0277,-0.0074,-0.0176,0.0061,0.0194,0.0037,
0.3000,-0.0277,-0.0074,-0.0176,0.0053,0.0068,0.0045,
0.3010,-0.0124,-0.0109,0.0173,0.0053,0.0068,0.0045,
0.3570,-0.0124,-0.0109,0.0173,0.0053,0.0068,0.0045,
0.3580,-0.0124,-0.0109,0.0173,0.0053,0.0068,0.0045,
0.3590,-0.0124,-0.0109,0.0173,0.0053,0.0068,0.0045,
0.3600,-0.0124,-0.0109,0.0173,0.0102,0.0056,0.0017,
0.3600,-0.0108,-0.0140,0.0056,0.0102,0.0056,0.0017,
0.4170,-0.0108,-0.0140,0.0056,0.0102,0.0056,0.0017,
0.4170,-0.0108,-0.0140,0.0056,0.0102,0.0056,0.0017,
0.4180,-0.0108,-0.0140,0.0056,0.0102,0.0056,0.0017,
0.4190,-0.0108,-0.0140,0.0056,0.0106,-0.0022,0.0017,
0.4190,0.0126,-0.0060,-0.0209,0.0106,-0.0022,0.0017,
0.4750,0.0126,-0.0060,-0.0209,0.0106,-0.0022,0.0017,
0.4760,0.0126,-0.0060,-0.0209,0.0106,-0.0022,0.0017,
0.4760,0.0126,-0.0060,-0.0209,0.0106,-0.0022,0.0017,
0.4770,0.0126,-0.0060,-0.0209,0.0041,-0.0014,-0.0020,
0.4780,0.0218,-0.0127,0.0102,0.0041,-0.0014,-0.0020,
0.5340,0.0218,-0.0127,0.0102,0.0041,-0.0014,-0.0020,
0.5350,0.0218,-0.0127,0.0102,0.0041,-0.0014,-0.0020,
0.5350,0.0218,-0.0127,0.0102,0.0041,-0.0014,-0.0020,
0.5360,0.0066,-0.0075,0.0007,0.0041,-0.0014,-0.0020,
0.5370,0.0066,-0.0075,0.0007,0.0004,-0.0014,-0.0040,
0.5920,0.0066,-0.0075,0.0007,0.0004,-0.0014,-0.0040,
0.5930,0.0066,-0.0075,0.0007,0.0004,-0.0014,-0.0040,
0.5940,0.0066,-0.0075,0.0007,0.0004,-0.0014,-0.0040,
0.5950,0.0066,-0.0075,0.0007,-0.0016,-0.0005,-0.0040,
0.5950,0.0257,0.0168,-0.0031,-0.0016,-0.0005,-0.0040,
0.6510,0.0257,0.0168,-0.0031,-0.0016,-0.0005,-0.0040,
0.6530,0.0257,0.0168,-0.0031,-0.0016,-0.0005,-0.0040,
0.6540,0.0257,0.0168,-0.0031,-0.0016,-0.0005,-0.0040,
0.6540,0.0257,0.0168,-0.0031,-0.0061,0.0019,-0.0052,
0.6550,0.0041,0.0085,-0.0036,-0.0061,0.0019,-0.0052,
0.7100,0.0041,0.0085,-0.0036,-0.0061,0.0019,-0.0052,
0.7100,0.0041,0.0085,-0.0036,-0.0061,0.0019,-0.0052,
0.7110,0.0041,0.0085,-0.0036,-0.0061,0.0019,-0.0052,
0.7120,0.0041,0.0085,-0.0036,-0.0078,-0.0050,-0.0048,
0.7120,-0.0099,-0.0047,-0.0045,-0.0078,-0.0050,-0.0048,
0.7680,-0.0099,-0.0047,-0.0045,-0.0078,-0.0050,-0.0048,
0.7690,-0.0099,-0.0047,-0.0045,-0.0078,-0.0050,-0.0048,
0.7690,-0.0099,-0.0047,-0.0045,-0.0078,-0.0050,-0.0048,
0.7700,0.0310,0.0068,-0.0048,-0.0078,-0.0050,-0.0048,
0.7710,0.0310,0.0068,-0.0048,-0.0073,-0.0128,-0.0004,
0.8270,0.0310,0.0068,-0.0048,-0.0073,-0.0128,-0.0004,
0.8280,0.0310,0.0068,-0.0048,-0.0073,-0.0128,-0.0004,
0.8290,0.0310,0.0068,-0.0048,-0.0073,-0.0128,-0.0004,
0.8300,0.0310,0.0068,-0.0048,-0.0053,-0.0071,-0.0032,
0.8300,0.0289,-0.0076,0.0048,-0.0053,-0.0071,-0.0032,
0.8840,0.0289,-0.0076,0.0048,-0.0053,-0.0071,-0.0032,
0.8850,0.0289,-0.0076,0.0048,-0.0053,-0.0071,-0.0032,
0.8850,0.0289,-0.0076,0.0048,-0.0053,-0.0071,-0.0032,
0.8860,-0.0255,-0.0193,-0.0364,-0.0053,-0.0071,-0.0032,
0.8860,-0.0255,-0.0193,-0.0364,0.0000,-0.0054,-0.0048,
0.9440,-0.0255,-0.0193,-0.0364,0.0000,-0.0054,-0.0048,
0.9450,-0.0255,-0.0193,-0.0364,0.0000,-0.0054,-0.0048,
0.9450,-0.0255,-0.0193,-0.0364,0.0000,-0.0054,-0.0048,
0.9460,-0.0255,-0.0193,-0.0364,-0.0016,-0.0156,0.0017,
0.9460,0.0497,0.0082,0.0214,-0.0016,-0.0156,0.0017,
1.0020,0.0497,0.0082,0.0214,-0.0016,-0.0156,0.0017,
1.0030,0.0497,0.0082,0.0214,-0.0016,-0.0156,0.0017,
1.0040,0.0497,0.0082,0.0214,-0.0016,-0.0156,0.0017,
1.0040,0.0497,0.0082,0.0214,-0.0061,-0.0046,-0.0003,
1.0050,0.0056,0.0289,-0.0226,-0.0061,-0.0046,-0.0003,
1.0610,0.0056,0.0289,-0.0226,-0.0061,-0.0046,-0.0003,
1.0620,0.0056,0.0289,-0.0226,-0.0061,-0.0046,-0.0003,
1.0620,0.0056,0.0289,-0.0226,-0.0061,-0.0046,-0.0003,
1.0630,0.0056,0.0289,-0.0226,-0.0057,-0.0034,0.0037,
1.0630,0.0075,0.0061,-0.0082,-0.0057,-0.0034,0.0037,
1.1190,0.0075,0.0061,-0.0082,-0.0057,-0.0034,0.0037,
1.1210,0.0075,0.0061,-0.0082,-0.0057,-0.0034,0.0037,
1.1210,0.0075,0.0061,-0.0082,-0.0057,-0.0034,0.0037,
1.1220,0.0075,0.0061,-0.0082,-0.0098,0.0056,0.0013,
1.1220,0.0036,-0.0079,-0.0184,-0.0098,0.0056,0.0013,
1.1780,0.0036,-0.0079,-0.0184,-0.0098,0.0056,0.0013,
1.1790,0.0036,-0.0079,-0.0184,-0.0098,0.0056,0.0013,
1.1790,0.0036,-0.0079,-0.0184,-0.0098,0.0056,0.0013,
1.1800,0.0036,-0.0079,-0.0184,-0.0110,-0.0018,0.0029,
1.1810,0.0025,-0.0077,0.0155,-0.0110,-0.0018,0.0029,
1.2370,0.0025,-0.0077,0.0155,-0.0110,-0.0018,0.0029,
1.2380,0.0025,-0.0077,0.0155,-0.0110,-0.0018,0.0029,
1.2380,0.0025,-0.0077,0.0155,-0.0110,-0.0018,0.0029,
1.2390,0.0025,-0.0077,0.0155,-0.0081,0.0052,0.0009,
1.2390,-0.0212,-0.0010,-0.0284,-0.0081,0.0052,0.0009,
1.2950,-0.0212,-0.0010,-0.0284,-0.0081,0.0052,0.0009,
1.2960,-0.0212,-0.0010,-0.0284,-0.0081,0.0052,0.0009,
1.2970,-0.0212,-0.0010,-0.0284,-0.0081,0.0052,0.0009,
1.2980,-0.0212,-0.0010,-0.0284,-0.0098,-0.0038,0.0033,
1.2980,-0.0168,-0.0036,-0.0183,-0.0098,-0.0038,0.0033,
1.3540,-0.0168,-0.0036,-0.0183,-0.0098,-0.0038,0.0033,
1.3550,-0.0168,-0.0036,-0.0183,-0.0098,-0.0038,0.0033,
1.3550,-0.0168,-0.0036,-0.0183,-0.0098,-0.0038,0.0033,
1.3560,-0.0173,-0.0034,-0.0147,-0.0098,-0.0038,0.0033,
1.3560,-0.0173,-0.0034,-0.0147,-0.0126,-0.0123,0.0045,
1.4120,-0.0173,-0.0034,-0.0147,-0.0126,-0.0123,0.0045,
1.4140,-0.0173,-0.0034,-0.0147,-0.0126,-0.0123,0.0045,
1.4150,-0.0173,-0.0034,-0.0147,-0.0126,-0.0123,0.0045,
1.4150,-0.0173,-0.0034,-0.0147,-0.0147,-0.0119,0.0033,
1.4160,0.0055,-0.0060,-0.0062,-0.0147,-0.0119,0.0033,
1.4700,0.0055,-0.0060,-0.0062,-0.0147,-0.0119,0.0033,
1.4710,0.0055,-0.0060,-0.0062,-0.0147,-0.0119,0.0033,
1.4710,0.0055,-0.0060,-0.0062,-0.0147,-0.0119,0.0033,
1.4720,0.0055,-0.0060,-0.0062,-0.0163,-0.0091,0.0017,
1.4720,-0.0182,0.0029,-0.0071,-0.0163,-0.0091,0.0017,
1.5320,-0.0182,0.0029,-0.0071,-0.0163,-0.0091,0.0017,
