
time,ax,ay,az,wx,wy,wz,
0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0610,0.0000,0.0000,0.0000,0.0016,0.0052,-0.0105,
0.1180,0.0000,0.0000,0.0000,0.0016,0.0052,-0.0105,
0.1190,0.0000,0.0000,0.0000,0.0016,0.0052,-0.0105,
0.1190,0.0000,0.0000,0.0000,0.0016,0.0052,-0.0105,
0.1190,0.0000,0.0000,0.0000,0.0020,0.0007,-0.0126,
0.1190,0.0071,0.0106,-0.0079,0.0020,0.0007,-0.0126,
0.1770,0.0071,0.0106,-0.0079,0.0020,0.0007,-0.0126,
0.1780,0.0071,0.0106,-0.0079,0.0020,0.0007,-0.0126,
0.1780,0.0071,0.0106,-0.0079,0.0020,0.0007,-0.0126,
0.1790,0.0071,0.0106,-0.0079,-0.0012,0.0039,-0.0093,
0.1790,0.0211,0.0103,0.0046,-0.0012,0.0039,-0.0093,
0.2350,0.0211,0.0103,0.0046,-0.0012,0.0039,-0.0093,
0.2360,0.0211,0.0103,0.0046,-0.0012,0.0039,-0.0093,
0.2360,0.0211,0.0103,0.0046,-0.0012,0.0039,-0.0093,
0.2370,0.0211,0.0103,0.0046,-0.0033,0.0019,-0.0109,
0.2370,-0.0066,0.0189,-0.0127,-0.0033,0.0019,-0.0109,
0.2950,-0.0066,0.0189,-0.0127,-0.0033,0.0019,-0.0109,
0.2960,-0.0066,0.0189,-0.0127,-0.0033,0.0019,-0.0109,
0.2980,-0.0066,0.0189,-0.0127,-0.0033,0.0019,-0.0109,
0.2990,0.0367,0.0001,0.0199,-0.0033,0.0019,-0.0109,
0.3000,0.0367,0.0001,0.0199,-0.0065,0.0011,-0.0089,
0.3520,0.0367,0.0001,0.0199,-0.0065,0.0011,-0.0089,
0.3540,0.0367,0.0001,0.0199,-0.0065,0.0011,-0.0089,
0.3540,0.0367,0.0001,0.0199,-0.0065,0.0011,-0.0089,
0.3550,0.0367,0.0001,0.0199,-0.0065,0.0011,-0.0052,
0.3550,0.0107,0.0244,-0.0219,-0.0065,0.0011,-0.0052,
0.4110,0.0107,0.0244,-0.0219,-0.0065,0.0011,-0.0052,
0.4120,0.0107,0.0244,-0.0219,-0.0065,0.0011,-0.0052,
