
time,ax,ay,az,wx,wy,wz,
0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0570,0.0000,0.0000,0.0000,-0.0147,-0.0071,-0.0117,
0.1150,0.0000,0.0000,0.0000,-0.0147,-0.0071,-0.0117,
0.1150,0.0000,0.0000,0.0000,-0.0147,-0.0071,-0.0117,
0.1160,0.0000,0.0000,0.0000,-0.0147,-0.0071,-0.0117,
0.1160,0.0000,0.0000,0.0000,-0.0053,0.0076,-0.0069,
0.1170,0.0007,-0.0137,-0.0204,-0.0053,0.0076,-0.0069,
0.1750,0.0007,-0.0137,-0.0204,-0.0053,0.0076,-0.0069,
0.1760,0.0007,-0.0137,-0.0204,-0.0053,0.0076,-0.0069,
0.1770,0.0007,-0.0137,-0.0204,-0.0053,0.0076,-0.0069,
0.1770,0.0007,-0.0137,-0.0204,-0.0012,0.0068,-0.0060,
0.1780,0.0118,0.0066,0.0007,-0.0012,0.0068,-0.0060,
0.2320,0.0118,0.0066,0.0007,-0.0012,0.0068,-0.0060,
0.2330,0.0118,0.0066,0.0007,-0.0012,0.0068,-0.0060,
0.2330,0.0118,0.0066,0.0007,-0.0012,0.0068,-0.0060,
0.2340,0.0118,0.0066,0.0007,-0.0045,0.0153,-0.0117,
0.2350,-0.0317,-0.0117,0.0037,-0.0045,0.0153,-0.0117,
0.2910,-0.0317,-0.0117,0.0037,-0.0045,0.0153,-0.0117,
0.2920,-0.0317,-0.0117,0.0037,-0.0045,0.0153,-0.0117,
0.2930,-0.0317,-0.0117,0.0037,-0.0045,0.0153,-0.0117,
0.2930,-0.0269,0.0002,0.0145,-0.0045,0.0153,-0.0117,
0.2940,-0.0269,0.0002,0.0145,0.0073,0.0080,-0.0093,
0.3500,-0.0269,0.0002,0.0145,0.0073,0.0080,-0.0093,
0.3500,-0.0269,0.0002,0.0145,0.0073,0.0080,-0.0093,
0.3510,-0.0269,0.0002,0.0145,0.0073,0.0080,-0.0093,
0.3520,-0.0269,0.0002,0.0145,0.0061,0.0088,-0.0077,
0.3520,-0.0035,0.0160,0.0335,0.0061,0.0088,-0.0077,
0.4080,-0.0035,0.0160,0.0335,0.0061,0.0088,-0.0077,
0.4090,-0.0035,0.0160,0.0335,0.0061,0.0088,-0.0077,
0.4100,-0.0035,0.0160,0.0335,0.0061,0.0088,-0.0077,
0.4100,-0.0035,0.0160,0.0335,0.0094,0.0072,-0.0073,
0.4110,-0.0022,-0.0117,0.0037,0.0094,0.0072,-0.0073,
0.4660,-0.0022,-0.0117,0.0037,0.0094,0.0072,-0.0073,
0.4700,-0.0022,-0.0117,0.0037,0.0094,0.0072,-0.0073,
0.4700,-0.0022,-0.0117,0.0037,0.0094,0.0072,-0.0073,
0.4710,-0.0022,-0.0117,0.0037,0.0098,0.0007,-0.0060,
0.4720,-0.0164,0.0168,0.0075,0.0098,0.0007,-0.0060,
0.5250,-0.0164,0.0168,0.0075,0.0098,0.0007,-0.0060,
0.5260,-0.0164,0.0168,0.0075,0.0098,0.0007,-0.0060,
0.5270,-0.0164,0.0168,0.0075,0.0098,0.0007,-0.0060,
0.5270,-0.0164,0.0168,0.0075,0.0102,-0.0026,-0.0060,
0.5280,0.0169,0.0041,0.0017,0.0102,-0.0026,-0.0060,
0.5830,0.0169,0.0041,0.0017,0.0102,-0.0026,-0.0060,
0.5840,0.0169,0.0041,0.0017,0.0102,-0.0026,-0.0060,
0.5850,0.0169,0.0041,0.0017,0.0102,-0.0026,-0.0060,
0.5860,0.0169,0.0041,0.0017,0.0069,-0.0005,-0.0081,
0.5860,0.0064,-0.0007,0.0021,0.0069,-0.0005,-0.0081,
0.6420,0.0064,-0.0007,0.0021,0.0069,-0.0005,-0.0081,
0.6440,0.0064,-0.0007,0.0021,0.0069,-0.0005,-0.0081,
0.6440,0.0064,-0.0007,0.0021,0.0069,-0.0005,-0.0081,
0.6450,0.0064,-0.0007,0.0021,0.0073,-0.0022,-0.0065,
0.6460,-0.0166,0.0049,-0.0222,0.0073,-0.0022,-0.0065,
0.7020,-0.0166,0.0049,-0.0222,0.0073,-0.0022,-0.0065,
0.7030,-0.0166,0.0049,-0.0222,0.0073,-0.0022,-0.0065,
0.7040,-0.0166,0.0049,-0.0222,0.0073,-0.0022,-0.0065,
0.7040,-0.0166,0.0049,-0.0222,0.0081,-0.0014,-0.0081,
0.7050,0.0043,-0.0092,0.0013,0.0081,-0.0014,-0.0081,
0.7600,0.0043,-0.0092,0.0013,0.0081,-0.0014,-0.0081,
0.7610,0.0043,-0.0092,0.0013,0.0081,-0.0014,-0.0081,
0.7610,0.0043,-0.0092,0.0013,0.0081,-0.0014,-0.0081,
0.7620,0.0043,-0.0092,0.0013,0.0085,-0.0001,-0.0044,
0.7630,0.0344,0.0114,0.0147,0.0085,-0.0001,-0.0044,
0.8180,0.0344,0.0114,0.0147,0.0085,-0.0001,-0.0044,
0.8190,0.0344,0.0114,0.0147,0.0085,-0.0001,-0.0044,
0.8190,0.0344,0.0114,0.0147,0.0085,-0.0001,-0.0044,
0.8200,0.0344,0.0114,0.0147,0.0126,0.0092,-0.0060,
0.8210,-0.0026,0.0028,-0.0096,0.0126,0.0092,-0.0060,
0.8760,-0.0026,0.0028,-0.0096,0.0126,0.0092,-0.0060,
0.8770,-0.0026,0.0028,-0.0096,0.0126,0.0092,-0.0060,
0.8780,-0.0026,0.0028,-0.0096,0.0126,0.0092,-0.0060,
0.8780,-0.0026,0.0028,-0.0096,0.0077,0.0068,-0.0052,
0.8790,-0.0274,-0.0183,-0.0212,0.0077,0.0068,-0.0052,
0.9350,0.0143,0.0301,-0.0079,0.0077,0.0068,-0.0052,
0.9360,0.0143,0.0301,-0.0079,0.0077,0.0068,-0.0052,
0.9370,0.0143,0.0301,-0.0079,0.0077,0.0068,-0.0052,
0.9370,0.0143,0.0301,-0.0079,0.0077,0.0068,-0.0052,
0.9380,0.0143,0.0301,-0.0079,0.0024,0.0064,-0.0036,
0.9940,0.0143,0.0301,-0.0079,0.0024,0.0064,-0.0036,
0.9950,0.0143,0.0301,-0.0079,0.0024,0.0064,-0.0036,
0.9950,0.0143,0.0301,-0.0079,0.0024,0.0064,-0.0036,
0.9960,0.0143,0.0301,-0.0079,0.0065,0.0068,0.0049,
0.9960,-0.0054,-0.0076,-0.0117,0.0065,0.0068,0.0049,
1.0520,-0.0054,-0.0076,-0.0117,0.0065,0.0068,0.0049,
1.0530,-0.0054,-0.0076,-0.0117,0.0065,0.0068,0.0049,
1.0540,-0.0054,-0.0076,-0.0117,0.0065,0.0068,0.0049,
1.0550,-0.0054,-0.0076,-0.0117,0.0085,0.0084,0.0025,
1.0550,-0.0048,0.0088,0.0009,0.0085,0.0084,0.0025,
1.1100,-0.0048,0.0088,0.0009,0.0085,0.0084,0.0025,
1.1110,-0.0048,0.0088,0.0009,0.0085,0.0084,0.0025,
1.1120,-0.0048,0.0088,0.0009,0.0085,0.0084,0.0025,
1.1120,-0.0048,0.0088,0.0009,0.0037,0.0027,0.0013,
1.1130,-0.0304,-0.0043,-0.0496,0.0037,0.0027,0.0013,
1.1700,-0.0304,-0.0043,-0.0496,0.0037,0.0027,0.0013,
1.1710,-0.0304,-0.0043,-0.0496,0.0037,0.0027,0.0013,
1.1710,-0.0304,-0.0043,-0.0496,0.0037,0.0027,0.0013,
1.1720,-0.0304,-0.0043,-0.0496,0.0057,-0.0067,-0.0007,
1.1720,0.0088,0.0111,-0.0091,0.0057,-0.0067,-0.0007,
1.2270,0.0088,0.0111,-0.0091,0.0057,-0.0067,-0.0007,
1.2290,0.0088,0.0111,-0.0091,0.0057,-0.0067,-0.0007,
1.2290,0.0088,0.0111,-0.0091,0.0057,-0.0067,-0.0007,
1.2300,0.0088,0.0111,-0.0091,0.0000,0.0015,-0.0028,
1.2320,0.0156,0.0059,-0.0037,0.0000,0.0015,-0.0028,
1.2860,0.0156,0.0059,-0.0037,0.0000,0.0015,-0.0028,
1.2870,0.0156,0.0059,-0.0037,0.0000,0.0015,-0.0028,
1.2880,0.0156,0.0059,-0.0037,0.0000,0.0015,-0.0028,
1.2880,0.0156,0.0059,-0.0037,-0.0024,0.0007,-0.0044,
1.2890,-0.0207,-0.0094,-0.0321,-0.0024,0.0007,-0.0044,
1.3450,-0.0207,-0.0094,-0.0321,-0.0024,0.0007,-0.0044,
1.3460,-0.0207,-0.0094,-0.0321,-0.0024,0.0007,-0.0044,
1.3470,-0.0207,-0.0094,-0.0321,-0.0024,0.0007,-0.0044,
1.3480,-0.0207,-0.0094,-0.0321,-0.0069,-0.0010,-0.0065,
1.3480,0.0047,0.0034,-0.0073,-0.0069,-0.0010,-0.0065,
1.4040,0.0047,0.0034,-0.0073,-0.0069,-0.0010,-0.0065,
1.4050,0.0047,0.0034,-0.0073,-0.0069,-0.0010,-0.0065,
1.4060,0.0047,0.0034,-0.0073,-0.0069,-0.0010,-0.0065,
1.4060,0.0047,0.0034,-0.0073,-0.0053,0.0076,-0.0052,
1.4070,0.0039,-0.0080,0.0084,-0.0053,0.0076,-0.0052,
1.4630,0.0039,-0.0080,0.0084,-0.0053,0.0076,-0.0052,
1.4640,0.0039,-0.0080,0.0084,-0.0053,0.0076,-0.0052,
1.4660,0.0039,-0.0080,0.0084,-0.0053,0.0076,-0.0052,
1.4660,0.0039,-0.0080,0.0084,-0.0037,0.0043,-0.0028,
1.4670,0.0020,-0.0055,0.0002,-0.0037,0.0043,-0.0028,
1.5200,0.0020,-0.0055,0.0002,-0.0037,0.0043,-0.0028,
1.5210,0.0020,-0.0055,0.0002,-0.0037,0.0043,-0.0028,
1.5220,0.0020,-0.0055,0.0002,-0.0037,0.0043,-0.0028,
1.5220,0.0020,-0.0055,0.0002,-0.0049,0.0092,-0.0028,
1.5230,-0.0032,0.0052,0.0438,-0.0049,0.0092,-0.0028,
1.5810,-0.0032,0.0052,0.0438,-0.0049,0.0092,-0.0028,
1.5820,-0.0032,0.0052,0.0438,-0.0049,0.0092,-0.0028,
1.5830,-0.0032,0.0052,0.0438,-0.0049,0.0092,-0.0028,
1.5830,-0.0032,0.0052,0.0438,-0.0053,0.0068,-0.0004,
1.5840,0.0171,0.0315,0.0034,-0.0053,0.0068,-0.0004,
1.6380,0.0171,0.0315,0.0034,-0.0053,0.0068,-0.0004,
1.6390,0.0171,0.0315,0.0034,-0.0053,0.0068,-0.0004,
