
time,ax,ay,az,wx,wy,wz,
0.0440,0.0000,0.0000,0.0000,0.0208,0.0492,0.0217,
0.0830,0.0000,0.0000,0.0000,0.0208,0.0492,0.0217,
0.0830,0.0000,0.0000,0.0000,0.0208,0.0492,0.0217,
0.0840,0.0000,0.0000,0.0000,0.0208,0.0492,0.0217,
0.0840,0.0000,0.0000,0.0000,0.0208,0.0492,0.0217,
0.0840,0.0000,0.0000,0.0000,0.0067,0.0681,0.0144,
0.0850,0.0000,0.0000,-0.0000,0.0067,0.0681,0.0144,
0.1220,0.0000,0.0000,-0.0000,0.0152,0.0449,0.0083,
0.1230,-0.1707,-0.0476,-0.1959,0.0152,0.0449,0.0083,
0.1610,-0.1707,-0.0476,-0.1959,0.0152,0.0449,0.0083,
0.1620,-0.1707,-0.0476,-0.1959,0.0152,0.0449,0.0083,
0.1630,-0.1707,-0.0476,-0.1959,0.0152,0.0449,0.0083,
0.1630,-0.1707,-0.0476,-0.1959,0.0152,0.0449,0.0083,
0.1640,-0.1707,-0.0476,-0.1959,0.0128,-0.0100,0.0242,
0.2000,-0.1707,-0.0476,-0.1959,0.0867,0.0144,0.0248,
0.2020,-0.0238,-0.0871,0.0384,0.0867,0.0144,0.0248,
0.2400,-0.0238,-0.0871,0.0384,0.0867,0.0144,0.0248,
0.2410,-0.0238,-0.0871,0.0384,0.0867,0.0144,0.0248,
0.2410,-0.0238,-0.0871,0.0384,0.0867,0.0144,0.0248,
0.2420,-0.0238,-0.0871,0.0384,0.0867,0.0144,0.0248,
0.2420,0.2622,0.3256,-0.1444,0.0867,0.0144,0.0248,
0.2430,0.2622,0.3256,-0.1444,0.0922,0.0211,0.0278,
0.2780,0.2622,0.3256,-0.1444,0.0794,0.0590,0.0083,
0.3180,0.2622,0.3256,-0.1444,0.0794,0.0590,0.0083,
0.3190,0.2622,0.3256,-0.1444,0.0794,0.0590,0.0083,
0.3190,0.2622,0.3256,-0.1444,0.0794,0.0590,0.0083,
0.3200,0.2622,0.3256,-0.1444,0.0794,0.0590,0.0083,
0.3200,0.2622,0.3256,-0.1444,0.0782,0.1109,-0.0002,
0.3210,0.3297,-0.0428,-0.1780,0.0782,0.1109,-0.0002,
0.3590,-0.0257,-0.1172,-0.2772,0.0782,0.1109,-0.0002,
0.3600,-0.0257,-0.1172,-0.2772,0.0995,0.1164,-0.0345,
0.3960,-0.0257,-0.1172,-0.2772,0.0995,0.1164,-0.0345,
0.3970,-0.0257,-0.1172,-0.2772,0.0995,0.1164,-0.0345,
0.3970,-0.0257,-0.1172,-0.2772,0.0995,0.1164,-0.0345,
0.3980,-0.0257,-0.1172,-0.2772,0.0995,0.1164,-0.0345,
0.3980,-0.0257,-0.1172,-0.2772,0.0769,0.0700,-0.0265,
0.4350,-0.0257,-0.1172,-0.2772,0.0323,-0.0278,0.0022,
0.4360,0.0572,-0.0378,-0.3092,0.0323,-0.0278,0.0022,
0.4740,0.0572,-0.0378,-0.3092,0.0323,-0.0278,0.0022,
0.4750,0.0572,-0.0378,-0.3092,0.0323,-0.0278,0.0022,
0.4760,0.0572,-0.0378,-0.3092,0.0323,-0.0278,0.0022,
0.4760,0.0572,-0.0378,-0.3092,0.0323,-0.0278,0.0022,
0.4760,0.0572,-0.0378,-0.3092,-0.0049,-0.1053,0.0230,
0.4770,0.3169,0.0001,-0.0791,-0.0049,-0.1053,0.0230,
0.5130,0.3169,0.0001,-0.0791,0.0110,-0.1017,0.0376,
0.5520,0.3169,0.0001,-0.0791,0.0110,-0.1017,0.0376,
0.5530,0.3169,0.0001,-0.0791,0.0110,-0.1017,0.0376,
0.5530,0.3169,0.0001,-0.0791,0.0110,-0.1017,0.0376,
0.5540,0.3169,0.0001,-0.0791,0.0110,-0.1017,0.0376,
0.5540,0.3169,0.0001,-0.0791,0.0006,-0.0223,0.0315,
0.5550,0.5717,0.1843,-0.2878,0.0006,-0.0223,0.0315,
0.5910,0.5717,0.1843,-0.2878,-0.0275,0.0138,0.0217,
0.5920,0.2395,-0.0602,-0.1065,-0.0275,0.0138,0.0217,
0.6310,0.2395,-0.0602,-0.1065,-0.0275,0.0138,0.0217,
0.6310,0.2395,-0.0602,-0.1065,-0.0275,0.0138,0.0217,
0.6320,0.2395,-0.0602,-0.1065,-0.0275,0.0138,0.0217,
0.6320,0.2395,-0.0602,-0.1065,-0.0275,0.0138,0.0217,
0.6330,0.2395,-0.0602,-0.1065,-0.0232,0.0217,0.0083,
0.6690,0.2395,-0.0602,-0.1065,-0.0379,0.0052,-0.0082,
0.6700,0.0034,-0.0486,-0.0489,-0.0379,0.0052,-0.0082,
0.7090,0.0034,-0.0486,-0.0489,-0.0379,0.0052,-0.0082,
0.7100,0.0034,-0.0486,-0.0489,-0.0379,0.0052,-0.0082,
0.7110,0.0034,-0.0486,-0.0489,-0.0379,0.0052,-0.0082,
0.7110,0.0034,-0.0486,-0.0489,-0.0379,0.0052,-0.0082,
0.7120,0.0034,-0.0486,-0.0489,-0.0379,-0.0119,-0.0100,
0.7120,0.0082,-0.0193,0.0029,-0.0379,-0.0119,-0.0100,
0.7480,0.0082,-0.0193,0.0029,-0.0306,-0.0161,-0.0143,
0.7860,0.0082,-0.0193,0.0029,-0.0306,-0.0161,-0.0143,
0.7870,0.0082,-0.0193,0.0029,-0.0306,-0.0161,-0.0143,
0.7880,0.0082,-0.0193,0.0029,-0.0306,-0.0161,-0.0143,
0.7880,0.0082,-0.0193,0.0029,-0.0306,-0.0161,-0.0143,
0.7890,0.0082,-0.0193,0.0029,-0.0293,-0.0174,-0.0149,
0.7890,-0.0408,-0.0155,-0.0026,-0.0293,-0.0174,-0.0149,
0.8250,-0.0408,-0.0155,-0.0026,-0.0251,-0.0229,-0.0155,
0.8260,-0.0650,0.0432,0.0755,-0.0251,-0.0229,-0.0155,
0.8640,-0.0650,0.0432,0.0755,-0.0251,-0.0229,-0.0155,
0.8650,-0.0650,0.0432,0.0755,-0.0251,-0.0229,-0.0155,
0.8660,-0.0650,0.0432,0.0755,-0.0251,-0.0229,-0.0155,
0.8660,-0.0650,0.0432,0.0755,-0.0251,-0.0229,-0.0155,
0.8670,-0.0650,0.0432,0.0755,-0.0196,-0.0296,-0.0173,
0.9040,-0.0650,0.0432,0.0755,-0.0202,-0.0369,-0.0186,
0.9060,-0.0387,0.0456,0.0567,-0.0202,-0.0369,-0.0186,
0.9430,-0.0387,0.0456,0.0567,-0.0202,-0.0369,-0.0186,
0.9430,-0.0387,0.0456,0.0567,-0.0202,-0.0369,-0.0186,
0.9440,-0.0387,0.0456,0.0567,-0.0202,-0.0369,-0.0186,
0.9440,-0.0387,0.0456,0.0567,-0.0202,-0.0369,-0.0186,
0.9450,-0.0387,0.0456,0.0567,-0.0373,-0.0308,-0.0241,
0.9450,-0.0349,-0.0183,0.1325,-0.0373,-0.0308,-0.0241,
0.9810,-0.0349,-0.0183,0.1325,-0.0422,-0.0314,-0.0271,
0.9930,-0.0349,-0.0183,0.1325,-0.0422,-0.0314,-0.0271,
0.9940,-0.0349,-0.0183,0.1325,-0.0422,-0.0314,-0.0271,
1.0210,-0.0349,-0.0183,0.1325,-0.0440,-0.0369,-0.0314,
