
time,ax,ay,az,wx,wy,wz,
0.0420,0.0000,0.0000,0.0000,0.3280,-1.2464,0.3333,
0.0820,0.0000,0.0000,0.0000,0.3805,-1.5421,0.3962,
0.0830,0.0000,0.0000,0.0000,0.3805,-1.5421,0.3962,
0.0830,0.0000,0.0000,0.0000,0.3805,-1.5421,0.3962,
0.0830,0.0000,0.0000,0.0000,0.3805,-1.5421,0.3962,
0.0830,0.0000,0.0000,0.0000,0.3805,-1.5421,0.3962,
0.0840,0.0000,0.0000,-0.0000,0.3805,-1.5421,0.3962,
0.1210,0.0000,0.0000,-0.0000,0.3518,-1.7571,0.4078,
0.1220,0.5315,0.0640,-0.3075,0.3518,-1.7571,0.4078,
0.1600,0.5315,0.0640,-0.3075,0.2162,-1.8774,0.3278,
0.1610,0.5315,0.0640,-0.3075,0.2162,-1.8774,0.3278,
0.1610,0.5315,0.0640,-0.3075,0.2162,-1.8774,0.3278,
0.1610,0.5315,0.0640,-0.3075,0.2162,-1.8774,0.3278,
0.1620,0.5315,0.0640,-0.3075,0.2162,-1.8774,0.3278,
0.1980,0.5315,0.0640,-0.3075,0.2064,-1.9758,0.3834,
0.2000,1.1008,-0.2839,-0.6284,0.2064,-1.9758,0.3834,
0.2380,1.1008,-0.2839,-0.6284,0.3805,-1.7363,0.4438,
0.2390,1.1008,-0.2839,-0.6284,0.3805,-1.7363,0.4438,
0.2390,1.1008,-0.2839,-0.6284,0.3805,-1.7363,0.4438,
0.2400,1.1008,-0.2839,-0.6284,0.3805,-1.7363,0.4438,
0.2400,1.1008,-0.2839,-0.6284,0.3805,-1.7363,0.4438,
0.2410,1.6083,-0.3582,0.1010,0.3805,-1.7363,0.4438,
0.2760,1.6083,-0.3582,0.1010,0.4520,-1.2965,0.4335,
0.3100,1.6083,-0.3582,0.1010,0.4520,-1.2965,0.4335,
0.3110,1.6083,-0.3582,0.1010,0.4520,-1.2965,0.4335,
0.3110,1.6083,-0.3582,0.1010,0.4520,-1.2965,0.4335,
0.3120,2.0578,0.5614,-0.2759,0.4520,-1.2965,0.4335,
0.3360,2.0578,0.5614,-0.2759,0.3628,-0.8316,0.4310,
0.3740,2.0578,0.5614,-0.2759,0.3628,-0.8316,0.4310,
0.3750,2.0578,0.5614,-0.2759,0.3628,-0.8316,0.4310,
0.3760,2.0578,0.5614,-0.2759,0.3628,-0.8316,0.4310,
0.3760,2.0578,0.5614,-0.2759,0.3628,-0.8316,0.4310,
