x,y,z,duration
0.278,0.013,-0.062,79814
0.267,0.011,-0.086,79819
0.262,0.079,-0.155,79824
0.218,0.045,-0.148,79829
0.136,0.084,-0.107,79834
0.131,0.11,-0.066,79839
0.053,0.095,-0.129,79844
0.031,0.076,-0.111,79849
-0.032,0.06,-0.087,79854
-0.059,0.063,-0.044,79859
-0.066,0.031,-0.053,79864
-0.119,0.045,-0.039,79869
-0.15,0.057,-0.035,79874
-0.161,0.09,-0.01,79879
-0.167,0.06,0.003,79884
-0.171,0.075,0.029,79889
-0.115,0.046,0.022,79894
-0.125,0.02,0.019,79899
-0.091,0.009,-0.008,79903
-0.073,-0.042,0.022,79908
-0.053,-0.051,0.046,79913
-0.013,-0.063,0.037,79918
-0.038,-0.061,0.042,79923
-0.051,-0.055,0.025,79928
-0.055,-0.032,0.039,79933
-0.045,-0.025,0.066,79938
-0.053,-0.044,0.068,79943
-0.065,-0.018,0.052,79948
-0.054,0.009,0.051,79953
-0.04,-0.021,0.012,79958
-0.083,0.002,0.049,79963
-0.071,0.036,0.01,79968
-0.064,0.028,-0.012,79973
-0.113,0.034,-0.019,79978
-0.106,0.026,0.0,79983
-0.104,0.079,-0.03,79988
-0.089,0.076,-0.04,79993
-0.063,0.059,-0.045,79998
-0.07,0.023,-0.006,80003
-0.08,0.042,0.029,80007
-0.046,0.03,0.008,80012
-0.007,0.005,-0.022,80017
-0.006,-0.02,0.005,80022
-0.01,-0.053,0.0,80027
-0.004,-0.022,0.043,80032
-0.008,-0.015,0.009,80037
-0.055,-0.048,0.034,80042
-0.028,-0.047,0.048,80047
-0.012,-0.025,0.026,80052
-0.024,-0.019,-0.002,80057
-0.043,-0.025,0.006,80062
-0.021,0.002,-0.002,80067
-0.041,0.006,-0.002,80072
-0.045,0.023,0.014,80077
-0.019,-0.004,-0.008,80082
-0.004,0.012,-0.011,80087
-0.008,0.011,-0.001,80092
0.018,0.006,-0.014,80097
0.0,0.009,-0.043,80102
0.02,-0.004,-0.004,80106
0.01,0.0,-0.008,80111
0.056,-0.029,-0.007,80116
0.063,-0.018,-0.036,80121
0.061,-0.024,0.001,80126
0.059,-0.035,0.018,80131
0.062,-0.044,0.003,80136
0.017,-0.079,0.029,80141
0.02,-0.058,0.021,80146
-0.003,-0.035,0.054,80151
0.018,-0.04,0.022,80156
0.016,-0.014,0.007,80161
-0.023,-0.034,0.028,80166
-0.012,0.024,0.038,80171
-0.033,0.0,0.047,80176
-0.06,0.004,0.004,80181
-0.028,0.043,0.003,80186
