x,y,z,duration
0.26,-0.068,0.143,27057
0.239,-0.061,0.133,27062
0.202,-0.029,0.132,27067
0.156,0.003,0.08,27072
0.127,0.02,0.085,27077
0.084,0.035,0.038,27082
0.058,0.027,-0.004,27087
0.04,0.05,-0.003,27092
-0.002,0.015,-0.007,27097
-0.015,0.018,-0.007,27102
-0.056,-0.005,-0.019,27107
-0.102,-0.013,-0.021,27111
-0.144,-0.042,-0.028,27116
-0.151,-0.046,-0.003,27121
-0.144,-0.059,-0.02,27126
-0.195,-0.044,0.024,27131
-0.218,-0.018,0.052,27136
-0.188,-0.029,0.055,27141
-0.221,-0.026,0.088,27146
-0.22,-0.015,0.11,27151
-0.202,-0.013,0.107,27156
-0.212,0.017,0.101,27161
-0.178,0.015,0.142,27166
-0.104,-0.002,0.119,27171
-0.124,0.01,0.073,27176
-0.034,-0.003,0.053,27181
-0.035,0.039,0.06,27186
-0.001,0.014,0.041,27191
0.05,0.03,0.05,27196
0.066,0.035,0.032,27201
0.103,0.023,0.068,27206
0.131,0.051,0.044,27211
0.183,0.059,0.005,27215
0.19,0.083,0.039,27220
0.201,0.031,0.017,27225
0.241,0.024,0.02,27230
0.204,0.026,-0.007,27235
0.197,-0.002,-0.019,27240
0.194,-0.023,-0.021,27245
0.214,-0.034,-0.015,27250
0.158,-0.052,-0.026,27255
0.185,-0.055,-0.019,27260
0.123,-0.032,-0.039,27265
0.102,-0.029,-0.026,27270
0.088,-0.017,-0.011,27275
0.049,-0.003,-0.018,27280
-0.007,-0.02,-0.047,27285
-0.006,-0.005,-0.046,27290
-0.027,-0.008,-0.046,27295
-0.089,-0.003,-0.015,27300
-0.041,-0.037,-0.018,27305
-0.037,-0.008,-0.02,27310
-0.081,-0.007,-0.023,27315
-0.042,0.001,-0.033,27319
-0.038,-0.028,-0.013,27324
-0.034,-0.008,-0.02,27329
0.003,-0.033,-0.044,27334
-0.04,-0.047,-0.009,27339
-0.049,-0.046,-0.021,27344
-0.005,-0.072,-0.015,27349
0.003,-0.056,0.02,27354
0.042,-0.05,0.044,27359
0.042,0.001,0.048,27364
0.029,0.01,0.022,27369
0.052,0.047,-0.001,27374
0.047,0.073,0.033,27379
0.094,0.1,0.016,27384
0.045,0.086,0.015,27389
0.062,0.077,-0.016,27394
0.078,0.069,-0.014,27399
0.078,0.101,-0.03,27404
0.088,0.1,0.002,27409
0.105,0.068,-0.014,27414
0.116,0.027,-0.004,27419
0.117,0.002,-0.03,27423
0.084,0.006,0.007,27428
0.024,0.023,-0.027,27433
0.038,-0.004,-0.012,27438
0.017,-0.025,-0.006,27443
0.016,-0.031,-0.01,27448
-0.002,-0.024,-0.026,27453
-0.011,-0.065,-0.01,27458
-0.018,-0.049,-0.005,27463
-0.051,-0.07,0.016,27468
-0.041,-0.068,0.014,27473
-0.02,-0.061,0.013,27478
-0.052,-0.033,0.037,27483
-0.047,-0.034,0.025,27488
-0.06,0.0,-0.002,27493
-0.032,0.0,0.057,27498
-0.033,-0.009,0.039,27503
-0.021,0.047,0.048,27508
-0.032,0.064,0.03,27513
-0.02,0.075,0.022,27518
-0.044,0.041,-0.018,27523
-0.018,0.046,0.013,27527
-0.02,0.015,-0.017,27532
-0.031,0.005,-0.015,27537
-0.032,0.0,-0.027,27542
0.004,-0.033,-0.041,27547
0.004,-0.047,-0.016,27552
-0.013,-0.038,-0.023,27557
0.005,-0.021,-0.033,27562
0.013,-0.015,-0.043,27567
0.007,-0.039,0.012,27572
-0.023,-0.027,-0.018,27577
0.013,0.01,-0.034,27582
0.016,-0.008,-0.043,27587
0.023,-0.015,-0.03,27592
0.042,0.02,-0.044,27597
-0.008,0.035,-0.066,27602
-0.025,0.044,-0.016,27607
-0.014,0.066,-0.001,27612
-0.025,0.081,-0.027,27617
-0.036,0.055,0.001,27622
-0.045,0.058,-0.011,27627
-0.01,0.044,-0.002,27631
-0.035,0.057,-0.006,27636
-0.074,0.059,-0.014,27641
-0.028,0.062,0.034,27646
-0.064,0.043,0.018,27651
-0.053,0.056,-0.005,27656
0.007,0.042,-0.004,27661
0.011,-0.005,-0.004,27666
0.005,0.003,0.017,27671
0.005,-0.013,0.041,27676
-0.016,-0.003,0.016,27681
-0.006,-0.007,0.057,27686
0.002,-0.015,0.03,27691
-0.01,-0.018,-0.011,27696
-0.009,-0.025,0.032,27701
-0.038,-0.013,0.016,27706
-0.039,-0.021,0.027,27711
-0.048,-0.01,0.025,27716
-0.017,-0.018,0.018,27721
-0.032,-0.007,0.025,27726
-0.038,-0.011,0.056,27731
-0.008,-0.01,0.046,27735
0.013,-0.026,0.042,27740
0.003,-0.01,0.046,27745
0.003,-0.048,0.067,27750
-0.009,-0.047,0.035,27755
-0.043,-0.008,0.036,27760
-0.056,-0.02,0.062,27765
-0.016,-0.022,0.069,27770
-0.04,-0.05,0.045,27775
-0.027,-0.028,0.053,27780
-0.05,-0.004,0.065,27785
-0.054,-0.007,0.058,27790
-0.005,-0.007,0.052,27795
-0.013,0.015,0.026,27800
-0.025,0.009,0.032,27805
-0.083,0.0,0.011,27810
-0.023,0.008,0.006,27815
-0.051,0.024,0.027,27820
-0.024,0.03,0.015,27825
-0.026,0.023,-0.037,27830
-0.019,0.0,-0.025,27835
-0.043,0.0,-0.026,27839
-0.017,0.016,-0.024,27844
0.001,-0.01,-0.06,27849
0.014,-0.039,-0.037,27854
0.008,-0.018,-0.055,27859
-0.009,-0.046,-0.066,27864
-0.004,-0.059,-0.055,27869
0.022,-0.044,-0.037,27874
-0.001,-0.061,-0.016,27879
-0.027,-0.055,-0.01,27884
-0.02,-0.054,-0.005,27889
0.011,-0.036,-0.004,27894
0.014,-0.01,-0.004,27899
0.009,-0.005,-0.012,27904
0.016,0.007,0.027,27909
0.088,-0.001,0.003,27914
0.045,-0.009,-0.009,27919
0.057,0.051,-0.008,27924
0.043,0.033,0.026,27929
0.06,0.008,0.032,27934
0.037,0.037,0.033,27938
0.016,0.033,-0.008,27943
0.027,0.03,-0.02,27948
0.063,0.023,0.028,27953
0.014,0.055,0.017,27958
0.03,0.006,-0.023,27963
0.044,0.006,0.0,27968
0.026,0.044,0.004,27973
0.006,0.001,-0.017,27978
0.023,-0.003,0.001,27983
0.038,-0.003,0.01,27988
-0.004,-0.011,0.03,27993
0.034,-0.031,0.019,27998
-0.002,-0.015,0.0,28003
-0.054,-0.001,-0.025,28008
-0.027,-0.022,-0.001,28013
-0.041,-0.028,-0.031,28018
-0.037,-0.021,-0.058,28023
-0.042,-0.019,-0.014,28028
-0.051,-0.013,-0.06,28033
-0.015,-0.029,-0.062,28038
-0.087,0.0,-0.086,28043
-0.04,-0.017,-0.069,28047
-0.01,0.009,-0.088,28052
-0.043,0.026,-0.044,28057
-0.013,0.01,-0.04,28062
0.031,0.026,-0.027,28067
0.01,0.037,-0.012,28072
-0.033,0.033,0.006,28077
0.012,0.03,0.035,28082
0.046,0.022,0.04,28087
0.024,0.016,0.054,28092
0.013,0.036,0.052,28097
0.033,0.006,0.008,28102
0.055,0.001,0.012,28107
0.024,-0.02,0.054,28112
-0.021,0.003,0.065,28117
