x,y,z,duration
-0.457,7.766,0.85,4
-0.386,7.003,0.787,9
-0.386,6.246,0.687,14
-0.36,5.622,0.614,19
-0.294,5.051,0.556,24
-0.26,4.546,0.522,29
-0.256,4.074,0.492,34
-0.226,3.684,0.455,39
-0.151,3.302,0.392,44
-0.136,2.963,0.353,49
-0.192,2.667,0.326,54
-0.159,2.396,0.285,59
-0.113,2.178,0.3,64
-0.132,1.947,0.296,69
-0.067,1.757,0.231,74
-0.125,1.607,0.187,79
-0.134,1.433,0.142,84
-0.082,1.29,0.132,89
-0.104,1.165,0.149,94
-0.098,1.053,0.173,98
-0.071,0.952,0.095,103
-0.059,0.857,0.099,108
-0.062,0.775,0.102,113
-0.051,0.702,0.078,118
-0.076,0.636,0.092,123
-0.056,0.572,0.074,128
-0.076,0.506,0.05,133
-0.017,0.443,0.014,138
-0.006,0.381,0.043,143
0.028,0.369,0.065,148
-0.03,0.315,0.045,153
-0.027,0.309,0.041,158
-0.011,0.274,0.011,163
-0.001,0.255,0.001,168
-0.04,0.247,0.005,173
-0.019,0.209,0.03,178
-0.012,0.184,-0.019,183
-0.046,0.183,-0.004,188
-0.015,0.164,0.017,193
-0.027,0.1,-0.04,198
-0.002,0.103,-0.027,203
0.006,0.106,-0.029,207
-0.011,0.074,-0.043,212
0.019,0.088,-0.047,217
-0.003,0.096,0.017,222
0.022,0.078,-0.001,227
0.002,0.066,-0.027,232
0.024,0.063,0.001,237
0.0,0.053,0.018,242
-0.017,0.034,0.0,247
-0.019,0.035,0.007,252
-0.013,0.019,0.041,257
-0.037,0.013,-0.009,262
-0.025,0.033,0.0,267
-0.022,0.055,0.012,272
-0.033,0.002,-0.023,277
-0.043,0.002,-0.016,282
-0.017,0.019,0.019,287
0.005,0.017,0.039,292
-0.042,-0.001,-0.016,297
-0.003,-0.009,-0.014,302
-0.011,-0.004,-0.004,306
0.032,0.0,-0.008,311
0.007,-0.004,-0.016,316
0.019,-0.008,-0.027,321
0.009,0.005,0.001,326
0.017,-0.003,-0.037,331
0.023,0.018,-0.042,336
-0.017,0.02,-0.042,341
-0.032,0.018,0.013,346
0.005,0.016,0.011,351
0.043,0.028,-0.01,356
0.017,0.008,-0.009,361
-0.018,0.002,-0.034,366
-0.003,-0.005,-0.022,371
-0.003,0.016,0.001,376
0.001,-0.002,0.018,381
0.009,0.001,0.025,386
-0.025,0.014,0.009,391
-0.023,0.0,-0.017,396
-0.033,-0.008,0.023,401
-0.008,-0.016,0.046,405
-0.033,-0.001,-0.009,410
0.025,0.02,-0.008,415
-0.015,-0.025,-0.003,420
-0.035,0.007,0.009,425
-0.014,0.019,-0.004,430
0.008,0.026,0.004,435
-0.018,0.01,-0.012,440
-0.046,-0.016,-0.015,445
-0.016,-0.001,-0.04,450
-0.014,0.028,-0.014,455
-0.008,0.017,0.004,460
0.017,0.006,0.0,465
0.02,0.023,-0.017,470
0.026,-0.017,-0.028,475
0.024,-0.002,-0.064,480
-0.021,0.04,-0.053,485
0.019,0.032,-0.057,490
0.034,-0.005,0.0,495
0.031,0.0,-0.017,500
0.006,-0.017,-0.002,505
0.014,-0.024,0.036,509
0.008,-0.009,0.037,514
0.046,-0.021,0.046,519
-0.009,-0.01,0.037,524
-0.012,-0.009,0.038,529
-0.024,0.0,0.021,534
0.012,-0.008,0.032,539
0.011,0.022,0.024,544
0.01,0.033,-0.003,549
0.004,0.008,-0.029,554
0.021,-0.001,-0.009,559
-0.01,0.011,-0.033,564
0.007,0.036,-0.09,569
-0.036,0.019,0.008,574
0.01,0.013,-0.013,579
-0.003,-0.017,-0.016,584
-0.033,-0.007,0.01,589
-0.034,0.023,0.022,594
-0.022,0.008,-0.035,599
-0.002,-0.014,-0.01,604
0.006,0.008,0.012,609
-0.003,-0.005,-0.036,613
0.027,0.008,-0.002,618
-0.031,0.003,-0.002,623
-0.023,-0.005,-0.019,628
0.017,0.0,-0.017,633
-0.027,-0.017,-0.007,638
-0.007,-0.016,-0.04,643
0.04,-0.01,-0.032,648
0.036,-0.013,-0.024,653
-0.014,0.0,-0.022,658
0.0,0.0,-0.015,663
0.021,-0.003,0.015,668
0.04,0.0,0.001,673
0.041,0.005,0.035,678
0.019,0.034,-0.002,683
-0.008,0.048,0.015,688
0.001,0.052,0.013,693
0.027,0.038,-0.017,698
0.028,-0.004,-0.033,703
0.012,-0.012,0.021,708
0.002,-0.024,-0.006,712
0.011,-0.004,-0.04,717
0.001,0.004,-0.005,722
0.014,-0.021,0.003,727
0.012,-0.028,-0.01,732
0.015,-0.029,-0.043,737
0.027,0.003,-0.004,742
-0.018,-0.009,0.0,747
-0.016,-0.021,-0.012,752
0.002,-0.015,0.001,757
0.014,-0.013,-0.037,762
0.013,-0.016,-0.025,767
-0.009,-0.019,0.024,772
-0.021,0.0,-0.003,777
-0.04,-0.017,-0.007,782
-0.041,0.01,0.014,787
-0.015,-0.029,0.0,792
0.003,-0.005,0.017,797
-0.022,-0.008,0.028,802
-0.033,-0.02,0.021,807
-0.034,-0.01,0.01,812
-0.026,-0.004,0.009,816
-0.045,0.012,0.013,821
-0.019,0.015,0.024,826
0.008,-0.002,-0.003,831
-0.005,0.014,0.044,836
-0.013,0.017,-0.02,841
0.009,0.015,0.011,846
0.025,0.048,-0.045,851
-0.011,0.048,-0.023,856
0.015,0.038,-0.034,861
-0.046,0.022,-0.039,866
-0.011,-0.005,0.003,871
-0.027,0.007,-0.005,876
-0.02,0.019,0.0,881
0.007,-0.021,-0.013,886
-0.023,-0.049,0.004,891
-0.012,-0.001,-0.03,896
-0.011,-0.005,-0.031,901
-0.074,-0.009,-0.002,906
-0.045,0.0,-0.006,911
-0.045,0.004,-0.048,916
-0.062,0.0,0.003,920
-0.069,-0.004,0.028,925
-0.049,0.0,0.0,930
-0.057,0.039,-0.025,935
