x,y,z,duration
0.186,0.041,0.433,3003
0.28,0.016,0.351,3008
0.368,0.023,0.277,3013
0.348,0.111,0.176,3018
0.279,0.173,0.098,3023
0.156,0.233,0.114,3028
0.132,0.244,0.167,3033
0.119,0.22,0.185,3038
0.094,0.189,0.162,3043
0.153,0.093,0.167,3048
0.121,0.006,0.094,3053
0.078,-0.067,0.094,3058
0.002,-0.121,0.123,3063
-0.028,-0.16,0.132,3068
-0.107,-0.217,0.265,3073
-0.053,-0.269,0.424,3078
-0.082,-0.341,0.52,3083
-0.117,-0.406,0.567,3088
-0.157,-0.404,0.566,3093
-0.18,-0.368,0.57,3098
-0.227,-0.353,0.56,3102
-0.256,-0.361,0.517,3107
-0.243,-0.363,0.504,3112
-0.223,-0.374,0.54,3117
-0.235,-0.371,0.464,3122
-0.211,-0.313,0.4,3127
-0.22,-0.273,0.391,3132
-0.172,-0.237,0.282,3137
-0.155,-0.23,0.151,3142
-0.153,-0.142,0.041,3147
-0.154,-0.072,0.058,3152
-0.143,-0.069,0.104,3157
-0.099,-0.058,0.025,3162
-0.016,-0.035,0.074,3167
0.058,-0.001,0.097,3172
0.113,0.041,0.091,3177
0.097,0.188,0.017,3182
0.07,0.32,-0.022,3187
0.024,0.391,0.001,3192
0.086,0.417,-0.029,3197
0.164,0.418,-0.073,3201
0.221,0.372,-0.199,3206
0.289,0.317,-0.227,3211
0.372,0.303,-0.243,3216
0.43,0.273,-0.326,3221
0.46,0.275,-0.367,3226
0.483,0.252,-0.395,3231
0.499,0.244,-0.377,3236
0.514,0.215,-0.361,3241
0.57,0.159,-0.359,3246
0.638,0.083,-0.444,3251
0.704,-0.015,-0.559,3256
0.745,-0.069,-0.641,3261
0.77,-0.101,-0.71,3266
0.719,-0.121,-0.687,3271
0.604,-0.143,-0.626,3276
0.448,-0.168,-0.646,3281
0.304,-0.229,-0.611,3286
0.192,-0.288,-0.563,3291
-0.033,-0.341,-0.528,3296
-0.176,-0.363,-0.527,3300
-0.322,-0.404,-0.509,3305
-0.432,-0.471,-0.488,3310
-0.536,-0.502,-0.534,3315
-0.672,-0.494,-0.459,3320
-0.755,-0.518,-0.435,3325
-0.921,-0.428,-0.361,3330
-1.04,-0.376,-0.226,3335
-1.074,-0.334,-0.069,3340
-1.035,-0.361,0.217,3345
-0.867,-0.424,0.324,3350
-0.737,-0.403,0.339,3355
-0.702,-0.285,0.301,3360
-0.748,-0.179,0.318,3365
-0.803,-0.027,0.373,3370
-0.852,0.117,0.383,3375
-0.801,0.109,0.327,3380
-0.734,0.064,0.165,3385
-0.57,0.049,0.002,3390
-0.491,0.031,-0.144,3394
-0.399,-0.019,-0.194,3399
-0.303,-0.012,-0.218,3404
-0.156,-0.011,-0.239,3409
-0.007,0.015,-0.28,3414
0.079,0.065,-0.308,3419
0.161,0.123,-0.329,3424
0.262,0.137,-0.309,3429
0.373,0.188,-0.265,3434
0.435,0.225,-0.307,3439
0.456,0.25,-0.432,3444
0.518,0.25,-0.531,3449
0.531,0.286,-0.594,3454
0.53,0.313,-0.565,3459
0.494,0.316,-0.577,3464
0.444,0.306,-0.64,3469
0.408,0.245,-0.584,3474
0.355,0.212,-0.479,3479
0.354,0.109,-0.375,3484
0.331,-0.03,-0.285,3489
0.199,-0.053,-0.235,3493
0.123,-0.121,-0.207,3498
0.007,-0.169,-0.014,3503
-0.07,-0.174,0.159,3508
-0.123,-0.238,0.298,3513
-0.158,-0.27,0.35,3518
-0.186,-0.286,0.349,3523
-0.214,-0.314,0.392,3528
-0.283,-0.274,0.409,3533
-0.341,-0.225,0.407,3538
-0.363,-0.159,0.349,3543
-0.391,-0.143,0.24,3548
-0.292,-0.137,0.359,3553
-0.129,-0.137,0.413,3558
-0.026,-0.123,0.255,3563
-0.019,-0.076,0.126,3568
-0.012,-0.038,0.105,3573
0.009,0.025,0.12,3578
-0.012,0.035,0.108,3583
-0.054,0.015,0.115,3587
0.006,-0.055,0.155,3592
0.032,-0.092,0.152,3597
0.02,-0.079,0.12,3602
-0.042,-0.036,0.177,3607
-0.072,-0.016,0.275,3612
-0.047,0.032,0.282,3617
-0.081,0.003,0.198,3622
-0.03,0.003,0.187,3627
-0.031,0.024,0.185,3632
-0.015,0.048,0.201,3637
0.041,0.03,0.353,3642
0.076,0.044,0.365,3647
0.133,0.083,0.281,3652
0.145,0.126,0.201,3657
0.122,0.191,0.13,3662
0.14,0.176,0.099,3667
0.195,0.133,0.055,3672
0.227,0.149,0.015,3677
0.252,0.096,-0.055,3682
0.248,0.082,0.006,3686
0.223,0.069,0.1,3691
0.205,0.079,0.137,3696
0.133,0.106,0.27,3701
0.029,0.057,0.204,3706
-0.094,0.072,0.141,3711
-0.183,0.069,0.075,3716
-0.324,0.037,0.179,3721
-0.408,-0.039,0.291,3726
-0.505,-0.104,0.434,3731
-0.631,-0.219,0.645,3736
-0.629,-0.287,0.882,3741
-0.66,-0.353,1.005,3746
-0.702,-0.404,1.137,3751
-0.606,-0.502,1.17,3756
-0.498,-0.486,1.225,3761
-0.457,-0.429,1.141,3766
-0.372,-0.347,0.997,3771
-0.27,-0.209,0.932,3776
0.049,-0.149,0.873,3781
0.371,-0.138,0.717,3785
0.571,-0.129,0.438,3790
1.1,-0.25,0.222,3795
1.503,-0.229,-0.015,3800
1.827,-0.21,-0.242,3805
2.019,-0.09,-0.101,3810
1.899,0.138,0.128,3815
1.537,0.421,0.205,3820
1.232,0.655,0.15,3825
0.979,0.77,0.157,3830
0.873,0.633,-0.052,3835
1.014,0.281,-0.357,3840
1.089,-0.082,-0.537,3845
1.079,-0.341,-0.53,3850
0.984,-0.501,-0.408,3855
0.769,-0.58,-0.316,3860
0.464,-0.591,-0.155,3865
0.28,-0.489,0.17,3870
0.153,-0.457,0.312,3875
0.029,-0.373,0.428,3879
-0.145,-0.271,0.549,3884
-0.169,-0.144,0.537,3889
-0.148,-0.022,0.237,3894
-0.198,0.095,0.054,3899
-0.294,0.275,-0.118,3904
-0.472,0.39,-0.365,3909
-0.58,0.541,-0.669,3914
-0.634,0.581,-0.856,3919
-0.743,0.575,-0.986,3924
-0.767,0.504,-1.021,3929
-0.751,0.424,-1.031,3934
-0.74,0.312,-0.941,3939
-0.727,0.113,-0.816,3944
-0.744,-0.044,-0.636,3949
-0.709,-0.216,-0.4,3954
-0.758,-0.345,-0.123,3959
-0.773,-0.496,0.302,3964
-0.747,-0.571,0.591,3969
-0.664,-0.631,0.778,3973
-0.667,-0.641,0.82,3978
-0.626,-0.607,0.885,3983
-0.498,-0.585,0.943,3988
-0.397,-0.522,0.788,3993
-0.28,-0.418,0.455,3998
-0.213,-0.368,0.142,4003
-0.092,-0.253,-0.056,4008
-0.01,-0.137,-0.223,4013
0.0,-0.046,-0.451,4018
0.068,0.022,-0.582,4023
0.121,0.089,-0.679,4028
0.221,0.071,-0.654,4033
0.341,0.047,-0.709,4038
0.385,0.085,-0.875,4043
0.329,0.12,-0.9,4048
0.236,0.151,-0.754,4053
0.178,0.166,-0.592,4058
0.138,0.162,-0.442,4063
0.133,0.111,-0.368,4068
0.085,0.074,-0.331,4072
0.077,0.067,-0.397,4077
0.056,0.034,-0.435,4082
0.003,0.001,-0.417,4087
0.02,0.018,-0.431,4092
-0.037,0.003,-0.453,4097
-0.068,-0.022,-0.403,4102
-0.104,-0.041,-0.35,4107
-0.141,-0.042,-0.319,4112
-0.17,-0.072,-0.283,4117
-0.192,-0.086,-0.285,4122
-0.168,-0.099,-0.377,4127
-0.156,-0.111,-0.408,4132
-0.14,-0.16,-0.453,4137
-0.1,-0.088,-0.533,4142
-0.103,-0.07,-0.51,4147
-0.058,-0.102,-0.48,4152
-0.022,-0.113,-0.493,4157
-0.033,-0.029,-0.443,4162
-0.094,0.012,-0.352,4167
-0.175,0.071,-0.308,4171
-0.274,0.103,-0.255,4176
-0.32,0.131,-0.165,4181
-0.378,0.161,-0.157,4186
-0.414,0.128,-0.146,4191
-0.42,0.124,-0.135,4196
-0.386,0.107,-0.066,4201
-0.356,0.075,0.013,4206
-0.303,0.089,0.076,4211
-0.282,0.101,0.125,4216
-0.18,0.091,0.168,4221
-0.115,0.121,0.16,4226
-0.047,0.186,0.105,4231
0.0,0.228,0.064,4236
0.082,0.278,-0.036,4241
0.112,0.349,-0.071,4246
0.153,0.439,-0.116,4251
0.15,0.473,-0.169,4256
0.127,0.469,-0.178,4261
0.157,0.461,-0.263,4266
0.15,0.44,-0.297,4270
0.182,0.435,-0.263,4275
0.254,0.37,-0.327,4280
0.307,0.298,-0.359,4285
0.358,0.217,-0.306,4290
0.443,0.169,-0.275,4295
0.532,0.057,-0.209,4300
0.535,-0.016,-0.041,4305
0.585,-0.096,0.035,4310
0.599,-0.126,0.131,4315
0.539,-0.139,0.238,4320
0.459,-0.129,0.27,4325
0.383,-0.133,0.252,4330
0.293,-0.163,0.209,4335
0.122,-0.164,0.227,4340
0.006,-0.178,0.235,4345
-0.071,-0.16,0.246,4350
-0.068,-0.148,0.221,4355
-0.13,-0.095,0.242,4360
-0.135,-0.102,0.265,4364
-0.078,-0.088,0.174,4369
-0.118,-0.053,0.122,4374
-0.136,-0.017,0.11,4379
-0.135,-0.007,0.077,4384
-0.135,0.01,0.052,4389
-0.095,0.039,-0.008,4394
-0.15,0.048,-0.089,4399
-0.122,0.022,-0.149,4404
-0.058,-0.001,-0.207,4409
-0.07,0.05,-0.234,4414
-0.093,0.105,-0.215,4419
-0.122,0.082,-0.15,4424
-0.144,0.121,-0.079,4429
-0.1,0.169,-0.032,4434
-0.034,0.156,-0.055,4439
0.02,0.171,-0.093,4444
0.079,0.274,-0.062,4449
0.148,0.359,-0.077,4454
0.228,0.422,-0.143,4459
0.304,0.44,-0.232,4463
0.373,0.495,-0.381,4468
0.396,0.497,-0.567,4473
0.343,0.529,-0.626,4478
0.326,0.515,-0.603,4483
0.337,0.494,-0.594,4488
0.316,0.488,-0.582,4493
0.25,0.413,-0.567,4498
0.22,0.376,-0.536,4503
0.164,0.347,-0.439,4508
0.083,0.303,-0.339,4513
0.053,0.247,-0.176,4518
-0.025,0.179,0.005,4523
-0.1,0.14,0.168,4528
-0.107,0.053,0.345,4533
-0.053,-0.012,0.457,4538
-0.039,-0.106,0.527,4543
-0.07,-0.112,0.557,4548
-0.045,-0.127,0.518,4553
-0.062,-0.179,0.565,4558
-0.134,-0.178,0.595,4562
-0.211,-0.126,0.604,4567
-0.267,-0.113,0.552,4572
-0.227,-0.123,0.57,4577
-0.205,-0.085,0.604,4582
-0.085,-0.051,0.591,4587
0.047,-0.054,0.54,4592
0.133,0.032,0.452,4597
0.275,0.106,0.454,4602
0.441,0.173,0.581,4607
0.639,0.277,0.514,4612
0.751,0.339,0.48,4617
0.823,0.357,0.393,4622
0.822,0.373,0.341,4627
0.8,0.418,0.233,4632
0.742,0.397,0.098,4637
0.603,0.353,-0.036,4642
0.508,0.309,-0.127,4647
0.397,0.274,-0.149,4652
0.275,0.178,-0.082,4656
0.144,0.082,-0.014,4661
0.035,-0.037,0.108,4666
-0.084,-0.081,0.286,4671
-0.205,-0.133,0.439,4676
-0.305,-0.214,0.593,4681
-0.361,-0.309,0.766,4686
-0.398,-0.39,0.897,4691
-0.423,-0.468,0.927,4696
-0.406,-0.498,0.981,4701
-0.404,-0.517,0.952,4706
-0.398,-0.517,0.952,4711
-0.423,-0.491,0.955,4716
-0.411,-0.421,0.912,4721
-0.404,-0.383,0.954,4726
-0.446,-0.31,0.958,4731
-0.414,-0.253,0.995,4736
-0.2,-0.314,1.012,4741
0.151,-0.489,0.833,4746
0.636,-0.695,0.405,4750
1.102,-0.974,-0.1,4755
1.474,-1.23,-0.607,4760
1.629,-1.4,-0.869,4765
1.401,-1.389,-1.028,4770
0.908,-1.186,-0.783,4775
0.063,-0.731,-0.187,4780
-0.831,-0.188,0.395,4785
-1.523,0.187,0.769,4790
-1.841,0.294,0.852,4795
-1.725,0.118,0.723,4800
-1.454,-0.199,0.651,4805
-1.071,-0.554,0.698,4810
-0.736,-0.766,0.822,4815
-0.55,-0.801,1.033,4820
-0.43,-0.674,1.132,4825
-0.4,-0.477,1.174,4830
-0.304,-0.313,1.091,4835
-0.097,-0.225,0.913,4840
0.214,-0.203,0.64,4845
0.502,-0.187,0.296,4849
0.78,-0.19,-0.077,4854
0.896,-0.149,-0.242,4859
1.008,-0.018,-0.256,4864
0.989,0.138,-0.209,4869
0.947,0.301,-0.236,4874
0.835,0.396,-0.393,4879
0.747,0.417,-0.474,4884
0.642,0.327,-0.526,4889
0.565,0.247,-0.598,4894
0.491,0.24,-0.62,4899
0.356,0.233,-0.455,4904
0.208,0.21,-0.31,4909
0.122,0.167,-0.227,4914
0.102,0.124,-0.153,4919
0.083,0.09,-0.155,4924
0.105,0.086,-0.247,4929
0.262,0.06,-0.459,4934
0.382,0.019,-0.586,4939
0.521,-0.016,-0.725,4944
0.624,-0.058,-0.782,4948
0.661,-0.065,-0.82,4953
0.62,-0.063,-0.85,4958
0.58,-0.069,-0.856,4963
0.444,-0.054,-0.783,4968
0.331,-0.031,-0.687,4973
0.134,-0.045,-0.696,4978
-0.085,-0.032,-0.648,4983
-0.31,-0.007,-0.661,4988
-0.468,0.001,-0.517,4993
-0.624,-0.019,-0.314,4998
-0.686,-0.03,-0.261,5003
-0.799,-0.075,-0.227,5008
-0.848,-0.097,-0.169,5013
-0.884,-0.118,-0.01,5018
-0.899,-0.153,0.089,5023
-0.865,-0.164,0.059,5028
-0.813,-0.195,0.014,5033
-0.775,-0.205,0.0,5038
-0.745,-0.146,-0.017,5042
-0.692,-0.101,-0.058,5047
-0.657,-0.117,-0.186,5052
-0.578,-0.079,-0.327,5057
-0.503,-0.08,-0.376,5062
-0.483,-0.042,-0.45,5067
-0.465,-0.012,-0.526,5072
-0.448,0.01,-0.559,5077
-0.429,0.005,-0.585,5082
-0.417,-0.003,-0.634,5087
-0.358,-0.016,-0.623,5092
-0.3,-0.027,-0.603,5097
-0.223,-0.042,-0.586,5102
-0.175,0.018,-0.588,5107
-0.161,0.016,-0.533,5112
-0.085,0.066,-0.536,5117
-0.012,0.094,-0.521,5122
0.036,0.127,-0.529,5127
0.11,0.136,-0.528,5132
0.211,0.166,-0.557,5136
0.241,0.196,-0.583,5141
0.295,0.215,-0.555,5146
0.356,0.211,-0.508,5151
0.454,0.181,-0.591,5156
0.486,0.133,-0.657,5161
0.45,0.193,-0.673,5166
0.405,0.195,-0.653,5171
0.283,0.163,-0.54,5176
0.233,0.164,-0.357,5181
0.149,0.1,-0.287,5186
0.082,0.047,-0.202,5191
-0.037,0.0,-0.117,5196
-0.132,-0.069,-0.028,5201
-0.227,-0.092,0.03,5206
-0.251,-0.1,0.118,5211
-0.295,-0.146,0.132,5216
-0.347,-0.153,0.17,5221
-0.334,-0.172,0.308,5226
-0.383,-0.176,0.385,5231
-0.418,-0.154,0.364,5235
-0.423,-0.165,0.297,5240
-0.42,-0.14,0.293,5245
-0.451,-0.095,0.251,5250
-0.449,-0.082,0.299,5255
-0.387,-0.104,0.364,5260
-0.309,-0.041,0.388,5265
-0.209,-0.024,0.366,5270
-0.089,0.063,0.377,5275
-0.02,0.109,0.331,5280
0.05,0.214,0.302,5285
0.144,0.257,0.233,5290
0.225,0.318,0.123,5295
0.245,0.359,0.016,5300
0.246,0.371,-0.002,5305
0.325,0.351,-0.066,5310
0.306,0.311,-0.133,5315
0.305,0.272,-0.206,5320
0.257,0.249,-0.211,5325
0.275,0.185,-0.091,5330
0.23,0.149,-0.021,5334
0.177,0.108,0.092,5339
0.142,0.084,0.182,5344
0.123,0.085,0.28,5349
0.137,0.089,0.269,5354
0.11,0.076,0.247,5359
0.168,0.077,0.213,5364
0.22,0.06,0.175,5369
0.237,0.11,0.148,5374
0.196,0.155,0.159,5379
0.185,0.157,0.118,5384
0.153,0.163,0.11,5389
0.112,0.202,0.103,5394
0.058,0.186,0.071,5399
-0.025,0.202,0.103,5404
-0.1,0.178,0.162,5409
-0.137,0.181,0.033,5414
-0.24,0.168,0.03,5419
-0.285,0.168,0.053,5424
-0.329,0.164,0.103,5429
-0.378,0.195,0.119,5433
-0.444,0.197,0.09,5438
-0.438,0.207,0.016,5443
-0.377,0.169,0.01,5448
-0.352,0.17,-0.016,5453
-0.313,0.178,-0.079,5458
-0.281,0.178,-0.11,5463
-0.262,0.212,-0.081,5468
-0.218,0.212,-0.022,5473
-0.222,0.251,-0.067,5478
-0.183,0.269,-0.112,5483
-0.121,0.307,-0.122,5488
-0.096,0.323,-0.149,5493
-0.035,0.36,-0.211,5498
0.088,0.38,-0.276,5503
0.161,0.437,-0.313,5508
0.27,0.505,-0.316,5513
0.381,0.536,-0.311,5518
0.464,0.547,-0.18,5523
0.555,0.609,-0.123,5527
0.642,0.561,-0.128,5532
0.758,0.522,-0.167,5537
0.747,0.448,-0.249,5542
0.694,0.265,-0.306,5547
