Anchor,Ranging,Duration,x,y,z
An0051,90,2.832593679,685.5,0,120
An0054,738,2.832593679,685.5,0,120
An0015,797,2.832593679,685.5,0,120
An0014,940,2.832593679,685.5,0,120
An0051,96,3.343883276,685.5,45.7,120
An0054,737,3.343883276,685.5,45.7,120
An0015,795,3.343883276,685.5,45.7,120
An0014,941,3.343883276,685.5,45.7,120
An0051,90,3.869036913,685.5,91.4,120
An0054,737,3.869036913,685.5,91.4,120
An0015,794,3.869036913,685.5,91.4,120
An0014,938,3.869036913,685.5,91.4,120
An0051,100,4.379074335,685.5,137.1,120
An0054,726,4.379074335,685.5,137.1,120
An0015,777,4.379074335,685.5,137.1,120
An0014,914,4.379074335,685.5,137.1,120
An0051,100,4.899689913,685.5,182.8,120
An0015,777,4.899689913,685.5,182.8,120
An0014,914,4.899689913,685.5,182.8,120
An0030,1146,4.899689913,685.5,182.8,120
An0015,420,7.977553606,685.5,457,120
An0051,444,7.977553606,685.5,457,120
An0014,541,7.977553606,685.5,457,120
An0030,887,7.977553606,685.5,457,120
An0015,420,8.47814393,685.5,502.7,120
An0051,444,8.47814393,685.5,502.7,120
An0014,536,8.47814393,685.5,502.7,120
An0030,879,8.47814393,685.5,502.7,120
