Anchor,Ranging,Duration
An0051,84,3.080794334411621
An0054,742,3.080794334411621
An0015,799,3.080794334411621
An0014,976,3.080794334411621
An0051,87,3.581384658813477
An0054,738,3.581384658813477
An0015,790,3.581384658813477
An0014,946,3.581384658813477
An0051,87,4.097614049911498
An0054,734,4.097614049911498
An0015,782,4.097614049911498
An0014,924,4.097614049911498
An0051,128,4.5981624126434335
An0015,723,4.5981624126434335
An0054,734,4.5981624126434335
An0014,914,4.5981624126434335
An0051,192,5.105578899383545
An0015,662,5.105578899383545
An0054,764,5.105578899383545
An0014,840,5.105578899383545
An0051,213,5.620147466659546
An0015,636,5.620147466659546
An0054,764,5.620147466659546
An0014,840,5.620147466659546
An0051,218,6.1207029819488525
An0015,636,6.1207029819488525
An0014,830,6.1207029819488525
An0030,1029,6.1207029819488525
An0051,393,7.636094331741332
An0015,464,7.636094331741332
An0014,588,7.636094331741332
An0030,906,7.636094331741332
An0051,393,8.155032634735107
An0015,464,8.155032634735107
An0014,588,8.155032634735107
An0030,906,8.155032634735107
An0015,304,9.182619571685793
An0014,434,9.182619571685793
An0051,555,9.182619571685793
An0030,817,9.182619571685793
An0015,279,9.692232131958008
An0014,374,9.692232131958008
An0051,605,9.692232131958008
An0030,797,9.692232131958008
An0015,224,10.207545042037962
An0014,331,10.207545042037962
An0051,657,10.207545042037962
An0030,763,10.207545042037962
An0015,208,10.716836690902712
An0014,298,10.716836690902712
An0051,694,10.716836690902712
An0030,755,10.716836690902712
An0015,211,11.226998329162598
An0014,295,11.226998329162598
An0051,701,11.226998329162598
An0030,755,11.226998329162598
